08:03:56:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
08:04:21:  跳转列表
08:52:45:  TCRControlCmdDLL
08:52:50:  TCRControlCmdDLL (未响应)
08:53:05:  新北洋OA信息化平台 - Internet Explorer
08:53:10:  http://oa.byintra.com/iPortal/publish/Default.aspx - Internet Explorer
08:53:15:  未连接到网络 - Internet Explorer
08:53:20:  系统登录 - Internet Explorer
08:53:25:  新北洋OA信息化平台 - Internet Explorer
08:53:30:  测试需求通知单II类提交 - Internet Explorer
08:53:35:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
08:53:40:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:53:45:  测试需求通知单II类提交 - Internet Explorer
08:53:50:  于斌1,吉哲,张开发
08:54:35:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
08:54:40:  新北洋OA信息化平台 - Internet Explorer
08:54:45:  2_提交需求_测试需求通知单II类提交 - Internet Explorer
08:55:05:  测试需求通知单II类提交 - Internet Explorer
08:55:15:  eSpace
08:55:55:  于斌1
08:57:15:  1_需求申请人_测试需求通知单II类提交 - Internet Explorer
08:57:25:  新北洋OA信息化平台 - Internet Explorer
08:57:30:  于斌1
09:02:05:  新北洋OA信息化平台 - Internet Explorer
09:02:10:  于斌1
09:02:20:  钞箱配置
09:02:25:  TCR调测工具 V3.36
09:03:30:  打开
09:03:35:  BTCRTestTool
09:03:40:  TCR调测工具 V3.36
09:03:50:  TCRControlCmdDLL
09:03:55:  20200807
09:04:05:  K64_0000_20200807085152.log - DRB.tat - TextAnalysisTool.NET
09:04:30:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:04:35:  K64_0000_20200807085152
09:04:40:  K64_0000_20200807085152.log - DRB.tat - TextAnalysisTool.NET
09:04:45:  TCR调测工具 V3.36
09:05:15:  打开
09:05:25:  TCR调测工具 V3.36
09:09:15:  钞箱配置
09:09:20:  TCR调测工具 V3.36
09:09:45:  盘点
09:09:50:  TCR调测工具 V3.36
09:10:05:  钞箱配置
09:10:15:  TCR调测工具 V3.36
09:10:40:  盘点
09:10:50:  TCR调测工具 V3.36
09:11:15:  盘点
09:11:25:  TCR调测工具 V3.36
09:11:35:  盘点
09:11:45:  TCR调测工具 V3.36
09:12:05:  盘点
09:12:20:  TCR调测工具 V3.36
09:15:25:  K64_0000_20200807085152
09:15:30:  钞箱配置
09:15:45:  TCR调测工具 V3.36
09:15:50:  K64_0000_20200807085152
09:15:55:  Decode
09:16:00:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
09:16:15:  TCR调测工具 V3.36
09:16:20:  取款
09:16:25:  TCR调测工具 V3.36
09:16:30:  优先级
09:16:40:  TCR调测工具 V3.36
09:16:50:  LOG
09:16:55:  Box_1__0000_20200807091300.log - DRB.tat - TextAnalysisTool.NET
09:17:35:  TCR调测工具 V3.36
09:18:30:  Box_1__0000_20200807091300.log - DRB.tat - TextAnalysisTool.NET
09:18:35:  Box_1__0000_20200807091300.log - DRB.tat* - TextAnalysisTool.NET
09:18:50:  TCR调测工具 V3.36
09:18:55:  盘点
09:19:00:  TCR调测工具 V3.36
09:19:35:  盘点
09:19:40:  TCR调测工具 V3.36
09:20:20:  钞箱配置
09:20:30:  TCR调测工具 V3.36
09:20:35:  发送指令到K06
09:20:40:  TCR调测工具 V3.36
09:20:45:  发送指令到K06
09:20:50:  钞箱配置
09:21:05:  盘点
09:21:10:  TCR调测工具 V3.36
09:21:40:  钞箱配置
09:21:45:  TCR调测工具 V3.36
09:21:55:  盘点
09:22:05:  TCR调测工具 V3.36
09:22:35:  盘点
09:22:40:  TCR调测工具 V3.36
09:23:15:  盘点
09:23:20:  TCR调测工具 V3.36
09:23:55:  盘点
09:24:00:  TCR调测工具 V3.36
09:24:35:  钞箱配置
09:24:40:  盘点
09:24:45:  TCR调测工具 V3.36
09:25:00:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
09:25:10:  TCR调测工具 V3.36
09:25:25:  盘点
09:25:30:  TCR调测工具 V3.36
09:25:50:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
09:25:55:  TCR调测工具 V3.36
09:26:05:  钞箱配置
09:26:15:  盘点
09:26:20:  TCR调测工具 V3.36
09:26:50:  盘点
09:26:55:  TCR调测工具 V3.36
09:27:45:  盘点
09:27:55:  TCR调测工具 V3.36
09:28:20:  发送指令到K06
09:28:25:  TCR调测工具 V3.36
09:28:20:  发送指令到K06
09:28:25:  TCR调测工具 V3.36
09:30:50:  发送指令到K06
09:30:55:  TCR调测工具 V3.36
09:32:25:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
09:32:30:  eSpace
09:33:55:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
09:35:05:  于斌1
09:36:45:  新标签页 - Google Chrome
09:36:50:  www.baidu.com - Google Chrome
09:37:01:  百度一下，你就知道 - Google Chrome
09:37:11:  印象笔记_百度搜索 - Google Chrome
09:37:16:  印象笔记迁移到另一个账户_百度搜索 - Google Chrome
09:37:26:  如何将印象笔记帐号内笔记转移到另一个帐号？ | 印象笔记 - Google Chrome
09:37:51:  印象笔记怎么从一个账户完美迁移到另一个账户-百度经验 - Google Chrome
09:38:16:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
09:39:41:  百度一下，你就知道 - Google Chrome
09:39:46:  https://www.baidu.com/link?url=qpts1VhZDYQCGTM3ea2icf0bN-z-2O4X6R30ZNu4sqePxkDaH9jKJ3phGzTBxUMl&wd=&eqid=f92d0dba00018388000000025f2cb0e0 - Google Chrome
09:39:51:  印象笔记 | 工作必备效率应用 - Google Chrome
09:40:01:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
09:43:22:  锁屏状态
09:43:27:  免费下载印象笔记 | 印象笔记 - Google Chrome
09:43:42:  5.23 拨叉功能测试模版_V1.0.xls  [兼容模式] - Excel
09:43:52:  打开文件 - 安全警告
09:44:02:  正在提取...
09:44:07:  Windows Installer
09:44:17:  于斌1
09:44:27:  印象笔记 v. 6.21.4 安装程序
09:44:42:  于斌1
09:44:52:  印象笔记 v. 6.21.4 安装程序
09:44:07:  Windows Installer
09:44:17:  于斌1
09:44:27:  印象笔记 v. 6.21.4 安装程序
09:44:42:  于斌1
09:44:52:  印象笔记 v. 6.21.4 安装程序
09:45:17:  于斌1
09:45:27:  桌面整理
09:45:32:  锁屏状态
09:45:47:  正在连接服务器…
09:45:57:  D:\00-06\DRB-PRESS\Middlewares\Plate\PressurePlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:46:02:  00-06
09:46:07:  Project
09:46:12:  锁屏状态
09:46:17:  于斌1
09:46:22:  开始
09:46:27:  印象笔记
09:46:32:  正在连接服务器…
09:46:52:  印象笔记
09:47:12:  初始化属性索引表 (thread_attr)
09:47:17:  打开数据库
09:47:37:  所有笔记本 - 569336451@qq.com - 印象笔记
09:47:42:  印象笔记
09:48:27:  所有笔记本 - 569336451@qq.com - 印象笔记
09:48:42:  多看笔记 - 569336451@qq.com - 印象笔记
09:48:47:  工作日常 - 569336451@qq.com - 印象笔记
09:48:52:  印象笔记
09:48:57:  新建笔记本
09:49:02:  工作 - 569336451@qq.com - 印象笔记
09:49:07:  确认操作
09:49:12:  工作日常 - 569336451@qq.com - 印象笔记
09:49:17:  印象笔记
09:49:27:  工作日常 - 569336451@qq.com - 印象笔记
09:49:37:  所有笔记本 - 569336451@qq.com - 印象笔记
09:51:57:  新建笔记本
09:52:02:  确认操作
09:52:07:  剪藏 - 569336451@qq.com - 印象笔记
09:52:17:  创建空间
09:52:22:  所有笔记本 - 569336451@qq.com - 印象笔记
09:53:02:  提高自身 - 569336451@qq.com - 印象笔记
09:53:07:  无标题笔记 - 印象笔记
09:53:17:  提高自身 - 569336451@qq.com - 印象笔记
09:53:27:  新标签页 - Google Chrome
09:53:32:  百度一下，你就知道 - Google Chrome
09:53:37:  印象笔记_百度搜索 - Google Chrome
09:53:42:  印象笔记左边侧栏编辑_百度搜索 - Google Chrome
09:53:52:  https://www.baidu.com/link?url=MgYuJoUUxdl0dmbvECodHHqVjZZi1f7DwkZQ0cLdXHrJvhhbbeU5cAyQZGAp3ZE7L6v9YLmVHMIQ5zOs2lJdsn0isQC65jBFRp4DfcxsUHO&wd=&eqid=8af1de970002c950000000025f2cb425 - Google Chrome
09:53:57:  印象笔记如何在工具栏添加新建笔记选项-百度经验 - Google Chrome
09:54:12:  提高自身 - 569336451@qq.com - 印象笔记
09:54:37:  所有笔记本 - 569336451@qq.com - 印象笔记
09:55:02:  开启密码锁定
09:55:07:  所有笔记本 - 569336451@qq.com - 印象笔记
09:55:12:  日记 - 569336451@qq.com - 印象笔记
09:56:27:  面试稿 - 569336451@qq.com - 印象笔记
09:56:32:  所有笔记本 - 569336451@qq.com - 印象笔记
09:56:37:  给自己的信 - 569336451@qq.com - 印象笔记
09:56:42:  面试稿 - 569336451@qq.com - 印象笔记
09:56:47:  提高自身 - 569336451@qq.com - 印象笔记
09:57:02:  所有笔记本 - 569336451@qq.com - 印象笔记
09:57:22:  印象笔记左边侧栏编辑_百度搜索 - Google Chrome
09:57:27:  所有笔记本 - 569336451@qq.com - 印象笔记
09:57:32:  印象笔记左边侧栏编辑_百度搜索 - Google Chrome
09:57:37:  印象笔记 左侧边栏_百度搜索 - Google Chrome
09:57:47:  https://www.baidu.com/link?url=dvp1IgjLj2zIGmeWLHDJVue_5ymOI0PJw96fQ93lJKbORLArbpF0vTX05QcbBFdB&wd=&eqid=c477745f00023221000000025f2cb510 - Google Chrome
09:57:52:  所有笔记本 - 569336451@qq.com - 印象笔记
09:58:12:  给自己的信 - 569336451@qq.com - 印象笔记
09:58:17:  工作日常 - 569336451@qq.com - 印象笔记
09:58:22:  多看笔记 - 569336451@qq.com - 印象笔记
09:58:27:  所有笔记本 - 569336451@qq.com - 印象笔记
09:58:42:  印象笔记
09:58:47:  所有笔记本 - 569336451@qq.com - 印象笔记
09:59:57:  提高自身 - 569336451@qq.com - 印象笔记
10:00:02:  所有笔记本 - 569336451@qq.com - 印象笔记
09:58:12:  给自己的信 - 569336451@qq.com - 印象笔记
09:58:17:  工作日常 - 569336451@qq.com - 印象笔记
09:58:22:  多看笔记 - 569336451@qq.com - 印象笔记
09:58:27:  所有笔记本 - 569336451@qq.com - 印象笔记
09:58:42:  印象笔记
09:58:47:  所有笔记本 - 569336451@qq.com - 印象笔记
09:59:57:  提高自身 - 569336451@qq.com - 印象笔记
10:00:02:  所有笔记本 - 569336451@qq.com - 印象笔记
10:00:22:  密码锁
10:00:32:  日记 - 569336451@qq.com - 印象笔记
10:00:47:  所有笔记本 - 569336451@qq.com - 印象笔记
10:00:57:  新建笔记本
10:01:02:  工作 - 569336451@qq.com - 印象笔记
10:01:17:  工作日常 - 569336451@qq.com - 印象笔记
10:01:22:  笔记本组 [2] - 569336451@qq.com - 印象笔记
10:01:27:  确认操作
10:01:32:  给自己的信 - 569336451@qq.com - 印象笔记
10:01:37:  多看笔记 - 569336451@qq.com - 印象笔记
10:01:43:  工作 - 569336451@qq.com - 印象笔记
10:01:48:  确认操作
10:01:53:  工作 - 569336451@qq.com - 印象笔记
10:02:08:  所有笔记本 - 569336451@qq.com - 印象笔记
10:02:13:  工作 - 569336451@qq.com - 印象笔记
10:02:18:  0-工作 - 569336451@qq.com - 印象笔记
10:02:23:  学会提问 - 印象笔记
10:02:33:  多看笔记 - 569336451@qq.com - 印象笔记
10:02:48:  剪藏 - 569336451@qq.com - 印象笔记
10:03:03:  笔记本组 [2] - 569336451@qq.com - 印象笔记
10:03:08:  记录 - 569336451@qq.com - 印象笔记
10:03:13:  笔记本组 - 569336451@qq.com - 印象笔记
10:03:28:  工作日常 - 569336451@qq.com - 印象笔记
10:03:43:  大学工作日常 - 569336451@qq.com - 印象笔记
10:03:48:  0-工作 - 569336451@qq.com - 印象笔记
10:03:53:  记录 - 569336451@qq.com - 印象笔记
10:03:58:  1-记录 - 569336451@qq.com - 印象笔记
10:04:03:  印象笔记 左侧边栏_百度搜索 - Google Chrome
10:04:13:  XMind如何保存到印象笔记-百度经验 - Google Chrome
10:04:28:  于斌1
10:04:33:  MindMaster
10:04:43:  MindMaster Pro
10:05:48:  导出到印象笔记
10:05:53:  MindMaster Pro
10:05:58:  印象笔记
10:06:18:  MindMaster Pro
10:06:23:  密码锁
10:06:28:  0-工作 - 569336451@qq.com - 印象笔记
10:06:33:  所有笔记本 - 569336451@qq.com - 印象笔记
10:07:23:  废纸篓 - 569336451@qq.com - 印象笔记
10:07:48:  所有笔记本 - 569336451@qq.com - 印象笔记
10:08:13:  财务分配 - 印象笔记
10:08:23:  所有笔记本 - 569336451@qq.com - 印象笔记
10:08:28:  财务分配 - 印象笔记
10:08:53:  所有笔记本 - 569336451@qq.com - 印象笔记
10:08:58:  财务分配 - 印象笔记
10:09:23:  所有笔记本 - 569336451@qq.com - 印象笔记
10:09:28:  0-工作 - 569336451@qq.com - 印象笔记
10:09:38:  所有笔记本 - 569336451@qq.com - 印象笔记
10:09:43:  MindMaster
10:09:48:  MindMaster Pro
10:09:58:  新建文本文档.exe - 快捷方式
10:10:03:  MindMaster Pro
10:10:23:  新标签页 - Google Chrome
10:10:28:  于斌1
10:10:43:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:10:53:  所有笔记本 - 569336451@qq.com - 印象笔记
10:11:58:  锁屏状态
10:12:13:  eSpace Login
10:12:18:  百度一下，你就知道 - Google Chrome
10:12:23:  eSpace
10:12:28:  https://www.baidu.com/link?url=gzxPikWfmDp1FHuRn_zIMoRDx-NlVg_5kTogRxUvcz3c4hhovtxOkO4YqOtbElSZ&wd=&eqid=b78886ed00043529000000025f2cb885 - Google Chrome
10:12:33:  xmind 导入 印象笔记_百度搜索 - Google Chrome
10:12:38:  Xmind+印象，笔记就是这么棒 - 简书 - Google Chrome
10:13:28:  xmind 导入 印象笔记_百度搜索 - Google Chrome
10:13:38:  知乎 - 有问题，上知乎 - Google Chrome
10:13:53:  (81 封私信 / 80 条消息) 有哪些思维导图软件支持保存到印象笔记 Evernote? - 知乎 - Google Chrome
10:14:13:  所有笔记本 - 569336451@qq.com - 印象笔记
10:14:18:  财务分配 - 印象笔记
10:14:13:  所有笔记本 - 569336451@qq.com - 印象笔记
10:14:18:  财务分配 - 印象笔记
10:15:08:  (81 封私信 / 80 条消息) 有哪些思维导图软件支持保存到印象笔记 Evernote? - 知乎 - Google Chrome
10:15:33:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:15:43:  MindMaster Pro
10:15:53:  登录账号
10:16:03:  MindMaster Pro
10:16:33:  新标签页 - Google Chrome
10:16:38:  百度一下，你就知道 - Google Chrome
10:16:48:  mindmaster 导出印象笔记_百度搜索 - Google Chrome
10:17:03:  MindMaster如何将思维导图保存至印象笔记 - Google Chrome
10:17:23:  导出到印象笔记
10:17:33:  MindMaster如何将思维导图保存至印象笔记 - Google Chrome
10:17:43:  密码锁
10:17:48:  财务分配 - 印象笔记
10:17:53:  5ed073023eb4417d74f741cf7b6de806[1].png - Windows 照片查看器
10:17:58:  财务分配 - 印象笔记
10:18:03:  打开方式
10:18:08:  MindMaster Pro
10:18:18:  财务分配 - 印象笔记
10:18:28:  MindMaster Pro
10:18:38:  财务分配 - 印象笔记
10:18:43:  MindMaster Pro
10:18:48:  财务分配 - 印象笔记
10:19:13:  所有笔记本 - 569336451@qq.com - 印象笔记
10:19:23:  新建笔记本
10:19:33:  所有笔记本 - 569336451@qq.com - 印象笔记
10:19:43:  读书笔记 - 569336451@qq.com - 印象笔记
10:19:48:  确认操作
10:19:53:  多看笔记 - 569336451@qq.com - 印象笔记
10:19:58:  所有笔记本 - 569336451@qq.com - 印象笔记
10:20:18:  2-财务分配 - 569336451@qq.com - 印象笔记
10:20:28:  MindMaster 发现新版本。
10:20:33:  财务分配 - 印象笔记
10:20:58:  2-财务分配 - 569336451@qq.com - 印象笔记
10:21:03:  1-记录 - 569336451@qq.com - 印象笔记
10:21:13:  随笔 - 569336451@qq.com - 印象笔记
10:21:23:  给自己的信 - 569336451@qq.com - 印象笔记
10:21:43:  大学工作日常 - 569336451@qq.com - 印象笔记
10:21:48:  日记 - 569336451@qq.com - 印象笔记
10:21:53:  1-记录 - 569336451@qq.com - 印象笔记
10:22:03:  所有笔记本 - 569336451@qq.com - 印象笔记
10:22:28:  新建笔记本
10:22:43:  随笔 - 569336451@qq.com - 印象笔记
10:22:48:  印象笔记
10:23:38:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:25:53:  随笔 - 569336451@qq.com - 印象笔记
10:25:58:  0-工作 - 569336451@qq.com - 印象笔记
10:26:03:  选项
10:27:23:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:27:28:  0-工作 - 569336451@qq.com - 印象笔记
10:27:33:  1-记录 - 569336451@qq.com - 印象笔记
10:27:38:  剪藏 - 569336451@qq.com - 印象笔记
10:27:43:  给自己的信 - 569336451@qq.com - 印象笔记
10:27:53:  https://post.smzdm.com/p/254610/ 使用说明 - 印象笔记
10:27:58:  给自己的信 - 569336451@qq.com - 印象笔记
10:28:03:  今天面试失败了，不知道一年以后再看这一条笔记，心里什么滋味。 你得加油啊，张小伙儿。 - 印象笔记
10:28:13:  给自己的信 - 569336451@qq.com - 印象笔记
10:28:23:  剪藏 - 569336451@qq.com - 印象笔记
10:28:33:  无标题笔记 - 印象笔记
10:28:38:  剪藏 - 569336451@qq.com - 印象笔记
10:29:33:  随笔 - 569336451@qq.com - 印象笔记
10:28:13:  给自己的信 - 569336451@qq.com - 印象笔记
10:28:23:  剪藏 - 569336451@qq.com - 印象笔记
10:28:33:  无标题笔记 - 印象笔记
10:28:38:  剪藏 - 569336451@qq.com - 印象笔记
10:29:33:  随笔 - 569336451@qq.com - 印象笔记
10:31:28:  剪藏 - 569336451@qq.com - 印象笔记
10:33:43:  给自己的信 - 569336451@qq.com - 印象笔记
10:34:53:  图片位于济南市, 山东省 - 印象笔记
10:34:58:  给自己的信 - 569336451@qq.com - 印象笔记
10:35:43:  随笔 - 569336451@qq.com - 印象笔记
10:36:13:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:36:18:  随笔 - 569336451@qq.com - 印象笔记
10:39:18:  给自己的信 - 569336451@qq.com - 印象笔记
10:39:23:  剪藏 - 569336451@qq.com - 印象笔记
10:39:28:  给自己的信 - 569336451@qq.com - 印象笔记
10:39:33:  剪藏 - 569336451@qq.com - 印象笔记
10:39:38:  批判性思维教程 笔记 - 印象笔记
10:39:43:  剪藏 - 569336451@qq.com - 印象笔记
10:41:28:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\CashGateModuleApp.c (trunk) - Sublime Text (UNREGISTERED)
10:43:38:  TCR调测工具 V3.36
10:43:43:  Project
10:43:48:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:44:03:  μVision
10:44:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:44:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:45:08:  密码锁
10:45:13:  剪藏 - 569336451@qq.com - 印象笔记
10:45:18:  帐户一览 - Internet Explorer
10:45:23:  欢迎回来 - Internet Explorer
10:45:38:  https://app.yinxiang.com/AnalyticsPitStop.action?analyticsEventDataJson=%7B%22events%22%3A%5B%7 - Internet Explorer
10:45:43:  https://app.yinxiang.com/Home.action?_sourcePage=GYaLXtEnxo7iMUD9T65RG_YvRLZ-1eYO3fqfqRu0fynRL_ - Internet Explorer
10:45:48:  剪藏 - 569336451@qq.com - 印象笔记
10:45:53:  帐户信息
10:46:03:  打开
10:46:08:  帐户一览 - Internet Explorer
10:46:13:  很多事越来越不重要了，有些事情越来越重要了 | 印象笔记网页版 - Internet Explorer
10:46:18:  帐户一览 - Internet Explorer
10:46:28:  选择要加载的文件
10:46:38:  个人资料 - Internet Explorer
10:47:48:  帐户信息
10:47:53:  剪藏 - 569336451@qq.com - 印象笔记
10:47:58:  DRB-PRESS
10:48:03:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
10:48:48:  Tools
10:48:53:  TCR调测工具 V3.36
