08:09:12:  Box_3__BTCR-1100200400210044_20200818095145.log - DRB.tat* - TextAnalysisTool.NET
08:13:48:  B8别的感觉没有，就感觉耳机降噪好了不少，现在开车到100左右开着窗户几乎听不见噪音，不知道是不是我自己的感觉【ios14吧】_百度贴吧 - Google Chrome
08:14:08:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:13:  下周发布会结束会推送ios14正式版吗？_ios14吧_百度贴吧 - Google Chrome
08:14:23:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:33:  谁🈶️iOS14b8的ipcc【ios14吧】_百度贴吧 - Google Chrome
08:14:38:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:53:  ImpellerCtrl.h - 00-18 - Visual Studio Code [管理员]
08:14:08:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:13:  下周发布会结束会推送ios14正式版吗？_ios14吧_百度贴吧 - Google Chrome
08:14:23:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:33:  谁🈶️iOS14b8的ipcc【ios14吧】_百度贴吧 - Google Chrome
08:14:38:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
08:14:53:  ImpellerCtrl.h - 00-18 - Visual Studio Code [管理员]
08:17:18:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:17:48:  桌面整理
08:17:53:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:18:03:  eSpace Login
08:18:08:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:18:18:  设置 - 00-18 - Visual Studio Code [管理员]
08:18:23:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:18:38:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:18:43:  荆文波
08:18:58:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:19:08:  荆文波
08:19:13:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:22:18:  eSpace
08:22:33:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:22:43:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:22:48:  库
08:22:53:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:24:08:  荆文波
08:24:28:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:24:33:  设置 - 00-18 - Visual Studio Code [管理员]
08:24:38:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:24:48:  设置 - 00-18 - Visual Studio Code [管理员]
08:24:53:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:26:13:  荆文波
08:26:28:  新建文本文档.exe - 快捷方式
08:26:33:  运行
08:26:43:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:26:48:  ● ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:26:53:  问题日志
08:26:58:  ID-28 50元混合纸币执行普通取款第258张 报钞箱口 500ms纸币未进入 返回码0X085E0900
08:27:03:  问题日志
08:27:08:  正在打开 - DRB钞箱工程样机系统测试问题列表.xlsx
08:27:13:  DRB钞箱工程样机系统测试问题列表.xlsx  [受保护的视图] - Excel
08:27:18:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:27:28:  问题日志
08:27:33:  LOG
08:27:38:  跳转列表
08:27:48:  打开
08:27:53:  Box_3__BTCR-1100200600510420_20200827095222.log - DRB.tat - TextAnalysisTool.NET
08:28:03:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:28:08:  荆文波
08:28:13:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:28:23:  荆文波
08:28:43:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:28:48:  eSpace Login
08:29:03:  荆文波
08:29:08:  问题日志
08:29:18:  荆文波
08:28:08:  荆文波
08:28:13:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:28:23:  荆文波
08:28:43:  DRB钞箱工程样机系统测试问题列表.xlsx - Excel
08:28:48:  eSpace Login
08:29:03:  荆文波
08:29:08:  问题日志
08:29:18:  荆文波
08:30:53:  锁屏状态
08:30:58:  fenxi
08:31:08:  LOG
08:31:13:  Box_2__BTCR-1100190802300006_20200818153945.log - DRB.tat - TextAnalysisTool.NET
08:31:38:  荆文波
08:32:23:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:34:23:  锁屏状态
08:34:28:  荆文波
08:34:38:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:35:33:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
08:35:38:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:38:38:  于斌1
08:38:48:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
08:38:53:  D:\00-06\DRB-MOSTNEW\Applications\PaperManage\PaperManage.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:41:08:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:41:13:  本地磁盘 (E:)
08:41:18:  Sublime Text Backups
08:41:23:  2020-09-08
08:41:28:  DRB-MOSTNEW
08:41:33:  Sublime Text Backups
08:41:38:  DRB-MOSTNEW
08:41:43:  打开方式
08:41:48:  E:\Sublime Text Backups\2020-09-07\D\00-06\DRB-MOSTNEW\Applications\State\State_144450.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:41:58:  Applications
08:42:03:  Sublime Text Backups
08:42:08:  00-06
08:42:13:  Applications
08:42:18:  E:\Sublime Text Backups\2020-09-07\D\00-06\DRB-PRESS\Applications\State\State_144643.h (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:42:23:  E:\Sublime Text Backups\2020-09-07\D\00-06\DRB-PRESS\Applications\State\State_144644.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:42:38:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:42:43:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:42:48:  荆文波
08:43:08:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:43:28:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:43:43:  荆文波
08:43:48:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:38:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:48:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:53:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:45:03:  D:\00-06\DRB-MOSTNEW\Applications\MemoryConfig.h (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:38:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:48:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:44:53:  D:\00-06\DRB-MOSTNEW\Applications\State\State.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:45:03:  D:\00-06\DRB-MOSTNEW\Applications\MemoryConfig.h (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:45:23:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:46:53:  D:\00-06\DRB-MOSTNEW\Drivers\SensorDriver\SensorDriver.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:47:08:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:47:38:  Windows 任务管理器
08:47:43:  D:\00-06\DRB-MOSTNEW\Middlewares\Sensor\Sensor.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:48:03:  D:\00-06\DRB-MOSTNEW\Drivers\SensorDriver\SensorDriver.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:48:33:  D:\00-06\DRB-MOSTNEW\Applications\Instruction\InstrExecute.c (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
08:49:08:  D:\00-18\Project\ke18_rtt.uvprojx - μVision
08:49:13:  State
08:49:18:  DRB-MOSTNEW
08:49:23:  μVision
08:49:28:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:51:28:  KE06LOG.bat - 快捷方式 (2)
08:51:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:51:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100851.log
08:51:58:  锁屏状态
08:52:03:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100851.log
08:52:43:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:53:03:  Box_2__BTCR-1100190802300006_20200818153945.log - DRB.tat - TextAnalysisTool.NET
08:53:08:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100851.log
08:53:23:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:53:38:  关于Sonar 检查规则日常管理
08:53:43:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:54:28:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision (未响应)
08:54:33:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
08:54:48:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision (未响应)
08:55:08:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:08:59:  Toolbox
09:09:04:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:11:34:  Toolbox
09:11:39:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:12:34:  计算器
09:12:49:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:13:54:  计算器
09:14:09:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:14:24:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
09:14:29:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:14:09:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:14:24:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
09:14:29:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:15:19:  MKE06P80M48SF0RM(中文).pdf - Adobe Reader
09:15:59:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:19:14:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100918.log
09:19:19:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:19:59:  JLink - Cortex-M Error
09:20:14:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:20:49:  KE06LOG.bat - 快捷方式 (2)
09:20:54:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100918.log
09:21:04:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100920.log
09:21:34:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:31:29:  Toolbox
09:31:34:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:35:09:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:35:59:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:36:04:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:36:39:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:36:54:  计算器
09:37:39:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:40:34:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:40:39:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:42:09:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:43:04:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:43:39:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:44:49:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
09:44:49:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
09:46:34:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:46:49:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
09:50:39:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:50:59:  μVision
09:51:04:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:51:54:  Toolbox
09:51:59:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:53:44:  KE06LOG.bat - 快捷方式 (2)
09:53:49:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:53:54:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100920.log
09:54:04:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100953.log
09:54:09:  计算器
09:54:49:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:54:59:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009100953.log
09:56:14:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:58:19:  Project
09:58:24:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
09:58:19:  Project
09:58:24:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:00:45:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101000.log
10:00:50:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:01:50:  Toolbox
10:02:05:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:02:15:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
10:03:00:  自动播放
10:03:25:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
10:07:25:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:10:05:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101009.log
10:10:40:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:13:40:  Box_2__BTCR-1100190802300006_20200818153945.log - DRB.tat - TextAnalysisTool.NET
10:13:45:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101009.log
10:13:55:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:15:00:  μVision
10:15:00:  μVision
10:15:05:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:15:20:  μVision
10:15:25:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:15:35:  Cortex JLink/JTrace Target Driver Setup
10:16:05:  Options for Target 'CashBox_1T2_Debug'
10:16:30:  Cortex JLink/JTrace Target Driver Setup
10:16:35:  Options for Target 'CashBox_1T2_Debug'
10:16:40:  Cortex JLink/JTrace Target Driver Setup
10:16:45:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:17:05:  Options for Target 'CashBox_1T2_Debug'
10:17:10:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:17:15:  KE06LOG.bat - 快捷方式 (2)
10:17:20:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:17:35:  KE06LOG.bat - 快捷方式 (2)
10:17:40:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:17:55:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101017.log
10:18:35:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
10:28:25:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:29:15:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:29:30:  设置 - 00-18 - Visual Studio Code [管理员]
10:29:40:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:29:50:  于斌1
10:29:55:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:30:00:  网络和共享中心
10:28:25:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:29:15:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:29:30:  设置 - 00-18 - Visual Studio Code [管理员]
10:29:40:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:29:50:  于斌1
10:29:55:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:30:00:  网络和共享中心
10:30:10:  自动播放
10:30:20:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:30:25:  于斌1
10:30:40:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:30:50:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:35:50:  设置 - 00-18 - Visual Studio Code [管理员]
10:35:55:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:36:05:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:36:10:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:36:20:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:36:25:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:36:45:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:36:50:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:37:05:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:37:15:  ● CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:37:20:  设置 - 00-18 - Visual Studio Code [管理员]
10:37:25:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:44:20:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:44:25:  设置 - 00-18 - Visual Studio Code [管理员]
10:44:30:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:44:20:  CheckTheBookTital.py - 00-18 - Visual Studio Code [管理员]
10:44:25:  设置 - 00-18 - Visual Studio Code [管理员]
10:44:30:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
10:51:00:  TCR调测工具 V3.36
10:51:05:  发送指令到K06
10:51:10:  锁屏状态
10:51:15:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:51:25:  荆文波
10:51:30:  eSpace
10:51:35:  方俊杰
10:52:05:  TCR调测工具 V3.36
10:54:15:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:54:30:  D:\00-06\DRB-MOSTNEW\Project\CashBox_1T2.uvprojx - μVision
11:11:50:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101017.log
11:11:55:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101022.log
11:12:00:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
11:12:30:  [INFO]: 0   Reset source is: SW • (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
11:12:35:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
11:12:45:  untitled (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
11:12:50:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
11:13:20:  6号 稳定性校验
11:15:25:  接收
11:15:30:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202009101002.log
11:15:40:  RTT_SeggerLog_202009101002 - 写邮件
11:15:45:  发送邮件
11:15:50:  untitled (DRB-MOSTNEW) - Sublime Text (UNREGISTERED)
11:15:55:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
11:17:45:  转发: 转发: 请提供参数 - 写邮件
11:17:50:  发送邮件
11:17:55:  ImpellerCtrl.c - 00-18 - Visual Studio Code [管理员]
11:23:10:  于斌1
11:28:10:  TCR小组
11:28:10:  TCR小组
11:32:00:  eSpace
11:32:05:  费志成
11:33:40:  系统提示
11:34:55:  未命名 - 写邮件
11:35:15:  远程邮箱管理
11:35:20:  锁屏状态
11:35:25:  确认
11:35:35:  远程邮箱管理
11:37:20:  未命名 - 写邮件
11:38:00:  密码锁
11:38:05:  所有笔记本 - 张开发 - 印象笔记
11:38:20:  未命名 - 写邮件   11:38:16 已保存
11:40:20:  未命名 - 写邮件   11:40:17 已保存
11:41:20:  未命名 - 写邮件   11:41:17 已保存
11:44:20:  未命名 - 写邮件   11:44:17 已保存
11:44:50:  于斌1
11:45:00:  未命名 - 写邮件   11:44:17 已保存
11:44:20:  未命名 - 写邮件   11:44:17 已保存
11:44:50:  于斌1
11:45:00:  未命名 - 写邮件   11:44:17 已保存
11:45:20:  未命名 - 写邮件   11:45:17 已保存
11:45:35:  未命名 - 写邮件   11:45:30 已保存
11:46:10:  87版本更改 - 写邮件   11:45:30 已保存
11:46:15:  锁屏状态
13:15:42:  颜晓军
13:16:07:  荆文波
13:16:47:  新建文本文档.exe - 快捷方式
13:16:57:  新标签页 - Google Chrome
13:17:27:  百度一下，你就知道 - Google Chrome
13:17:32:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
13:17:37:  要不是看到这个提示，我也想升14了【ios14吧】_百度贴吧 - Google Chrome
13:17:47:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
13:17:57:  b8依旧中国大陆【ios14吧】_百度贴吧 - Google Chrome
13:18:07:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
13:18:17:  求助，本人手机xsmax更新了iOS14，很久之前就更新了。然后iOS14不是多了一个新功能吗，右上角绿点就表示访问摄像头【ios14吧】_百度贴吧 - Google Chrome
13:18:27:  ios14吧-百度贴吧--IOS14吧 宁的归宿 宁的家--本吧保证永远无广告。IOS14吧不再局限于讨论IOS，这是属于你们的地方。影视·生活·时事·明星·游戏以及ACG，你都可以分享，IOS14吧又何 - Google Chrome
13:19:07:  14.7续航蹦了，不知道14.8如何已经更了【ios14吧】_百度贴吧 - Google Chrome
13:20:07:  荆文波
13:20:12:  新建文本文档.exe - 快捷方式
13:20:17:  荆文波
13:20:37:  问题日志
13:20:42:  Decode
13:20:52:  荆文波
13:21:42:  K64_BTCR-1100190803000001_20200709150714
13:21:47:  Box_2__BTCR-1100190803000001_20200709150714.log - DRB.tat - TextAnalysisTool.NET
13:24:22:  「开始」菜单
