08:02:31:  Add Filter
16:01:53:  C:\Windows\py.exe
16:01:58:  LOG
16:02:03:  Python 3.7.3 Shell
16:02:08:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-10\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:02:18:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:02:28:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
16:03:23:  CashboxDatePur-V1. - Everything
16:03:28:  LOG
16:03:33:  C:\Windows\py.exe
16:03:38:  LOG
16:03:43:  *Python 3.7.3 Shell*
16:03:53:  Python 3.7.3 Shell
16:04:03:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:04:08:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
16:04:28:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:04:33:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
16:04:43:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:04:48:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py • (trunk) - Sublime Text (UNREGISTERED)
16:04:58:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:05:03:  LOG
16:05:08:  C:\Windows\py.exe
16:05:18:  锁屏状态
16:05:23:  TheOneForExcel.xls  [兼容模式] - Excel
16:05:48:  新建Microsoft Excel 工作表.xlsx - Excel
16:05:53:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:06:23:  CashboxDatePur-V1. - Everything
16:06:33:  LOG
16:06:38:  C:\Windows\py.exe
16:06:48:  TheOneForExcel.xls  [兼容模式] - Excel
16:07:38:  LOG
16:07:43:  打开
16:07:53:  TCR调测工具 V3.36
16:09:38:  LOG
16:09:43:  跳转列表
16:09:48:  TCRControlCmdDLL
16:09:53:  20200606
16:10:13:  新建文件夹
16:10:18:  Decode
16:10:28:  Box_1__0000_20200606160805-------8#---------.log - [No filter file] - TextAnalysisTool.NET
16:11:03:  TCR调测工具 V3.36
16:11:13:  Box_1__0000_20200606160805-------8#---------.log - [No filter file] - TextAnalysisTool.NET
16:11:28:  Box_1__0000_20200606160805-------8#---------.log - DRB.tat - TextAnalysisTool.NET
16:11:38:  Box_1__0000_20200606160805-------8#---------.log - DRB.tat* - TextAnalysisTool.NET
16:11:58:  TCR调测工具 V3.36
16:12:08:  钞箱配置
16:12:18:  取款
16:12:28:  TCR调测工具 V3.36
16:12:33:  取款
16:12:38:  TCR调测工具 V3.36
16:13:03:  20200606
16:13:08:  TCR调测工具 V3.36
16:13:13:  BTCRTestTool
16:13:18:  TCR调测工具 V3.36
16:13:38:  新建文件夹
16:13:43:  Decode
16:13:48:  K64_0000_20200606161257
16:13:53:  Box_1__0000_20200606161257.log - DRB.tat* - TextAnalysisTool.NET
16:14:53:  TCR调测工具 V3.36
16:14:53:  TCR调测工具 V3.36
16:19:53:  03 项目周报
16:19:58:  正在打开 - Excel
16:20:03:  Excel
16:20:08:  TCR（DRB）项目周报.xlsx  [共享] - Excel
16:20:48:  03 项目周报
16:22:53:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:22:58:  选择文件夹
16:23:03:  D:\fenxi\50\Decode\LOG\CashboxDatePur-V1.3.py (trunk) - Sublime Text (UNREGISTERED)
16:23:08:  untitled (press2) - Sublime Text (UNREGISTERED)
16:23:18:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
16:24:03:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c • (press2) - Sublime Text (UNREGISTERED)
16:24:28:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
16:24:43:  00-KE64
16:24:48:  press2
16:24:53:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
16:27:45:  Add Files to Group 'Applications'
16:28:15:  本地磁盘 (D:)
16:28:20:  Press
16:28:25:  Applications
16:28:30:  00-KE64
16:28:35:  FlowControl
16:28:40:  于斌1
16:28:50:  Add Files to Group 'Applications'
16:29:00:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
16:28:15:  本地磁盘 (D:)
16:28:20:  Press
16:28:25:  Applications
16:28:30:  00-KE64
16:28:35:  FlowControl
16:28:40:  于斌1
16:28:50:  Add Files to Group 'Applications'
16:29:00:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
16:30:27:  FlowControl
16:30:32:  press2
16:30:37:  D:\00-KE64\press2\Tools\CreateJK.exe
16:30:47:  TCR调测工具 V3.36
16:31:27:  Tools
16:31:32:  D:\00-KE64\press2\Project\k64_rtt.uvprojx - μVision
16:31:37:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\LowerPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:32:27:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
16:32:37:  Tools
16:32:42:  透明壳-50
16:32:47:  LOG
16:32:52:  TheOneForExcel.xls  [兼容模式] - Excel
16:34:52:  压钞托板测试
16:34:57:  C:\Users\zhangkaifa\Documents\TcrFirmwareLogDecode.exe
16:35:17:  透明壳-50
16:35:27:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
16:39:22:  Decode
16:40:02:  于斌1
16:40:22:  LOG
16:40:27:  桌面整理
16:40:37:  LOG
16:40:42:  C:\Windows\py.exe
16:40:47:  于斌1
16:40:52:  Python 3.7.3 Shell
16:40:57:  *Python 3.7.3 Shell*
16:41:02:  Python 3.7.3 Shell
16:41:17:  LOG
16:41:22:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:41:37:  *CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)*
16:41:42:  Python 3.7.3 Shell
16:41:47:  Save Before Run or Check
16:41:52:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:41:57:  C:\Windows\py.exe
16:42:02:  LOG
16:42:07:  *Python 3.7.3 Shell*
16:42:12:  Python 3.7.3 Shell
16:42:17:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:42:27:  Python 3.7.3 Shell
16:42:32:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:42:37:  LOG
16:42:42:  Box_1__0000_20200604132821.log - “LOG”中的搜索结果
16:42:47:  Box_1__0000_20200604132821.log - DRB.tat* - TextAnalysisTool.NET
16:43:07:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:43:32:  *Python 3.7.3 Shell*
16:43:42:  TheOneForExcel.xls  [兼容模式] - Excel
16:44:37:  LOG
16:44:42:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:44:47:  C:\Windows\py.exe
16:44:52:  LOG
16:45:02:  桌面整理
16:44:37:  LOG
16:44:42:  CashboxDatePur-V1.3.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.3.py (3.7.3)
16:44:47:  C:\Windows\py.exe
16:44:52:  LOG
16:45:02:  桌面整理
16:45:07:  Box_1__0000_20200604132821.log - DRB.tat* - TextAnalysisTool.NET
16:45:12:  LOG
16:45:17:  TheOneForExcel.xls  [兼容模式] - Excel
16:50:17:  Box_1__0000_20200604132821.log - DRB.tat* - TextAnalysisTool.NET
16:54:12:  TheOneForExcel.xls  [兼容模式] - Excel
16:54:32:  eSpace
16:54:37:  程明昌
16:54:52:  LOG
16:54:57:  TheOneForExcel.xls  [兼容模式] - Excel
16:55:12:  程明昌
16:55:17:  运行
16:57:17:  警告
16:57:27:  TheOneForExcel.xls  [兼容模式] - Excel
16:57:42:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
16:58:37:  警告
16:58:42:  3-4月双月测评优秀同事奖励通知
16:59:07:  Foxmail
17:00:02:  锁屏状态
16:58:37:  警告
16:58:42:  3-4月双月测评优秀同事奖励通知
16:59:07:  Foxmail
17:00:02:  锁屏状态
17:00:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
17:00:27:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\PressurePlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:00:32:  TheOneForExcel.xls  [兼容模式] - Excel
17:00:42:  Box_1__0000_20200604132821.log - DRB.tat* - TextAnalysisTool.NET
17:01:12:  LOG
17:01:22:  K64_0000_20200604085133-O-50-3
17:01:32:  LOG
17:01:37:  Box_1__0000_20200604132821.log - DRB.tat* - TextAnalysisTool.NET
17:01:42:  LOG
17:01:47:  TheOneForExcel.xls  [兼容模式] - Excel
17:02:37:  eSpace
17:03:02:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-4652-20200606140210\Attach\log_decrypt(1).c (DRB-PRESS) - Sublime Text (UNREGISTERED)
17:06:22:  新标签页 - Google Chrome
17:06:27:  文档
17:06:37:  桌面整理
17:06:42:  CashboxDatePur-V1. - Everything
17:06:47:  LogDecode - Everything
17:06:52:  WinRAR
17:06:57:  LogDecode - Everything
17:07:02:  我的文档
17:07:22:  本地磁盘 (D:)
17:07:27:  透明壳-1
17:07:32:  Decode
17:07:37:  透明壳-1
17:08:27:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
17:08:57:  Class- - Everything
17:09:02:  Class-Log- - Everything
17:09:12:  D:\00-记录\记录\2019-10\2019-10-31 08-00-41\Decode\Class-Log-C.py (press2) - Sublime Text (UNREGISTERED)
17:09:22:  Class-Log- - Everything
17:09:47:  F:\小程序\Class-Log-C1.py (press2) - Sublime Text (UNREGISTERED)
17:10:32:  Class-Log- - Everything
17:11:17:  锁屏状态
17:11:27:  Decode
17:11:32:  F:\小程序\Class-Log-C1.py (press2) - Sublime Text (UNREGISTERED)
17:12:02:  C:\Users\zhangkaifa\Desktop\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:12:57:  D:\00-KE64\press2\Applications\FlowControl\TrackModule\CashGateModuleApp.c (press2) - Sublime Text (UNREGISTERED)
17:13:27:  锁屏状态
17:13:42:  本地磁盘 (D:)
17:13:47:  D:\00-06 - 版本库浏览器 - TortoiseSVN
17:14:22:  TheOneForExcel.xls  [兼容模式] - Excel
17:14:37:  C:\Users\zhangkaifa\Desktop\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:14:22:  TheOneForExcel.xls  [兼容模式] - Excel
17:14:37:  C:\Users\zhangkaifa\Desktop\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:15:37:  Class-Log- - Everything
17:15:42:  Cashbox - Everything
17:15:47:  CashboxDatepur - Everything
17:15:52:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:16:07:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py • (press2) - Sublime Text (UNREGISTERED)
17:17:12:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:17:32:  LOG
17:17:37:  Microsoft Excel
17:17:42:  删除文件
17:17:47:  LOG
17:17:52:  Python 3.7.3 Shell
17:17:57:  CashboxDatePur-V1.4.py - D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (3.7.3)
17:18:02:  LOG
17:18:07:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:18:17:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py • (press2) - Sublime Text (UNREGISTERED)
17:18:37:  C:\Windows\py.exe
17:18:47:  TheOneForExcel.xls  [兼容模式] - Excel
17:18:52:  LOG
17:19:02:  桌面整理
17:19:07:  C:\Users\zhangkaifa\Desktop\CashboxDatePur-V1.4.py • (press2) - Sublime Text (UNREGISTERED)
17:19:12:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:19:17:  C:\Users\zhangkaifa\Desktop\CashboxDatePur-V1.5.py (press2) - Sublime Text (UNREGISTERED)
17:19:47:  eSpace
17:19:52:  于斌1
17:20:17:  eSpace
17:20:27:  D:\压钞托板测试\透明壳-50\Decode\LOG\CashboxDatePur-V1.4.py (press2) - Sublime Text (UNREGISTERED)
17:20:32:  锁屏状态
