08:08:07:  高逸
09:08:27:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:08:37:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:08:42:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:08:52:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
09:09:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:09:42:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:09:47:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:10:07:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:10:12:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:10:22:  eSpace
09:10:27:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:10:37:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:11:02:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:11:07:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
09:11:12:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:12:02:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
09:12:22:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:12:37:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
09:13:02:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:13:12:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:13:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:13:32:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:15:07:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
09:15:17:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
09:15:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:15:27:  eSpace
09:15:32:  于斌1
09:15:52:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:15:57:  于斌1
09:16:07:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:27:32:  锁屏状态
09:28:12:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:28:17:  于斌1
09:28:27:  方俊杰
09:28:32:  颜晓军
09:28:47:  本地磁盘 (D:)
09:28:52:  E:\深圳出差\44\Applications\CanComm\CashBoxComm\CashBoxCmd.h (trunk) - Sublime Text (UNREGISTERED)
09:29:02:  44
09:29:07:  固件版本
09:29:12:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB-弹性摆块.EEP (trunk) - Sublime Text (UNREGISTERED)
09:29:17:  锁屏状态
09:29:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:29:37:  eSpace
09:29:42:  于斌1
09:28:12:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:28:17:  于斌1
09:28:27:  方俊杰
09:28:32:  颜晓军
09:28:47:  本地磁盘 (D:)
09:28:52:  E:\深圳出差\44\Applications\CanComm\CashBoxComm\CashBoxCmd.h (trunk) - Sublime Text (UNREGISTERED)
09:29:02:  44
09:29:07:  固件版本
09:29:12:  \\192.168.28.47\08tcr测试过程记录\样机配置履历表\固件版本\最新固件\K06\BTCR-1100_BOX1T1_KE06_FV1000_EXTFEDUV21_V100_CASHBOX1T1_AB-弹性摆块.EEP (trunk) - Sublime Text (UNREGISTERED)
09:29:17:  锁屏状态
09:29:27:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:29:37:  eSpace
09:29:42:  于斌1
09:30:17:  K06
09:30:22:  运行
09:30:42:  主控板集成测试方案-报告
09:30:52:  5.20 电磁铁功能测试_V1.0.xls  [受保护的视图] - Excel
09:31:02:  主控板集成测试方案-报告
09:31:07:  锁屏状态
09:31:12:  5.20 电磁铁功能测试_V1.0.xls  [受保护的视图] - Excel
09:31:17:  于斌1
09:31:37:  5.20 电磁铁功能测试_V1.0.xls  [受保护的视图] - Excel
09:31:47:  于斌1
09:31:52:  主控板集成测试方案-报告
09:32:57:  于斌1
09:33:22:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:33:42:  E:\深圳出差\44\Drivers\FlashDriver\SnbcFlashDriver.c (44) - Sublime Text (UNREGISTERED)
09:33:52:  于斌1
09:35:22:  从控板集成测试方案-报告
09:35:27:  主控板集成测试方案-报告
09:35:32:  于斌1
09:35:37:  固件集成测试方案
09:38:37:  工作记录
09:38:42:  结构图
09:38:47:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:38:52:  20200826_CRS电机和拨叉方向.pdf - Adobe Reader
09:39:02:  EXTFEDU6V12-压钞电机.PDF - Adobe Reader
09:39:07:  结构图
09:39:12:  CAXA电子图板
09:39:18:  无名文件 - CAXA电子图板2005(企业版)
09:39:23:  \\192.168.28.3\文件共享\组织共享\技术中心项目组共享\02-识别产品线\06- 刘建生\06 固件日报\共享文件\CRS\结构图\CRS电机作用范围.exb - CAXA电子图板2005(企业版)
09:39:38:  CRS
09:39:43:  原理图
09:39:48:  正在打开 - Excel
09:39:53:  原理图
09:39:58:  CRS电气资料.xlsx  [受保护的视图] - Excel
09:41:13:  E:\深圳出差\44\Drivers\FlashDriver\SnbcFlashDriver.c (44) - Sublime Text (UNREGISTERED)
09:41:18:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:41:43:  选择文件夹
09:42:18:  untitled (trunk) - Sublime Text (UNREGISTERED)
09:42:23:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:42:28:  untitled (trunk) - Sublime Text (UNREGISTERED)
09:42:33:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
09:42:58:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
09:43:48:  eSpace
09:43:53:  收取邮件 - 张开发
09:43:58:  荆文波
09:44:18:  选择文件夹
09:44:18:  选择文件夹
09:46:38:  untitled (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:50:13:  WinRAR
09:50:23:  爆仓问题.rar - WinRAR (非商业个人版)
09:50:28:  主控板集成测试方案-报告
09:50:33:  fenxi
09:50:38:  爆仓问题
09:50:43:  K64_BTCR-1100190802300006_20201014092953.log - DRB.tat* - TextAnalysisTool.NET
09:50:58:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:51:08:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:51:13:  Edit Filter
09:51:18:  K64_BTCR-1100190802300006_20201014092953.log - DRB.tat* - TextAnalysisTool.NET
09:51:23:  D:\00-06\1T1-Stop-Length\trunk\Applications\Instruction\InstrReturn.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:51:33:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:51:48:  K64_BTCR-1100190802300006_20201014092953.log - DRB.tat* - TextAnalysisTool.NET
09:51:58:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:52:08:  K64_BTCR-1100190802300006_20201014092953.log - DRB.tat* - TextAnalysisTool.NET
09:52:13:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
09:52:33:  CRS电气资料.xlsx  [受保护的视图] - Excel
09:52:38:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:00:23:  荆文波
10:00:33:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:03:28:  本地磁盘 (D:)
10:03:33:  SECSplashWnd
10:03:38:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:04:38:  锁屏状态
10:04:43:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:04:58:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:10:53:  于斌1
10:11:03:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:11:38:  于斌1
10:12:18:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:15:23:  锁屏状态
10:15:28:  于斌1
10:15:33:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:16:18:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:17:08:  于斌1
10:17:38:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:27:48:  Everything
10:27:53:  于斌1
10:28:03:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:28:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141007.log
10:28:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141028.log
10:28:43:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141007.log
10:28:48:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141028.log
10:30:48:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:30:53:  于斌1
10:31:03:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:31:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141031.log
10:31:23:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:31:28:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202010141031.log
10:37:58:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
10:46:28:  CRS电气资料.xlsx  [只读] - Excel
10:47:03:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
10:47:08:  CRS电气资料.xlsx  [只读] - Excel
10:47:43:  CRS
10:47:48:  结构图
10:47:53:  CRS
10:47:58:  结构图
10:48:03:  20200826_CRS电机和拨叉方向.pdf - Adobe Reader
10:48:13:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
10:48:43:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
10:48:53:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
10:54:13:  锁屏状态
10:54:18:  CRS电气资料.xlsx  [只读] - Excel
10:54:23:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\HistoryStruct.h (trunk) - Sublime Text (UNREGISTERED)
10:55:03:  D:\00-KE64\trunk\Applications\FunctionApp\EepHisApp\EepHisApp.c (trunk) - Sublime Text (UNREGISTERED)
10:55:18:  D:\00-KE64\trunk\Applications\FlowControl\Shutter\ShutModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
10:57:03:  CRS电气资料.xlsx  [只读] - Excel
10:57:08:  D:\00-KE64\trunk\Applications\FlowControl\Shutter\ShutModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
10:57:23:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
10:57:33:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
10:57:38:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
10:58:03:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
10:58:08:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:58:23:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
10:59:28:  E:\深圳出差\44\Applications\FlowControl\Escrow\AdapterCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:33:  E:\深圳出差\44\Applications\FlowControl\Escrow\BarCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:38:  E:\深圳出差\44\Applications\FlowControl\Escrow\EscPlateCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:43:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
10:58:08:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
10:58:23:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
10:59:28:  E:\深圳出差\44\Applications\FlowControl\Escrow\AdapterCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:33:  E:\深圳出差\44\Applications\FlowControl\Escrow\BarCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:38:  E:\深圳出差\44\Applications\FlowControl\Escrow\EscPlateCtrl.c (44) - Sublime Text (UNREGISTERED)
10:59:43:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
11:00:28:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
11:00:33:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
11:00:53:  E:\深圳出差\44\Applications\StateCheck\StateCheck.c (44) - Sublime Text (UNREGISTERED)
11:01:03:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
11:01:13:  D:\00-KE64\trunk\Applications\FlowControl\TrackModule\GateModule.c (trunk) - Sublime Text (UNREGISTERED)
11:01:23:  D:\00-KE64\trunk\Applications\FlowControl\Shutter\ShutModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
11:01:28:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.h (44) - Sublime Text (UNREGISTERED)
11:04:29:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
11:07:29:  D:\00-KE64\trunk\Applications\FlowControl\Shutter\ShutModuleIF.c (trunk) - Sublime Text (UNREGISTERED)
11:07:34:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:07:59:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.h (44) - Sublime Text (UNREGISTERED)
11:08:09:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
11:11:14:  本地磁盘 (D:)
11:11:24:  00-06
11:11:29:  trunk
11:11:34:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:27:19:  王晓华
11:27:44:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:27:54:  TortoiseMerge
11:27:59:  PlateCtrl.c Revision 3375 - TortoiseMerge
11:28:09:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:14:  文件补丁  
11:28:19:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:29:  PlateCtrl.c Revision 3222 - TortoiseMerge
11:28:34:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:39:  PlateCtrl.c Revision 3222 - TortoiseMerge
11:28:49:  王晓华
11:29:59:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:28:09:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:14:  文件补丁  
11:28:19:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:29:  PlateCtrl.c Revision 3222 - TortoiseMerge
11:28:34:  D:\00-06\1T1-Stop-Length\trunk - 日志信息 - TortoiseSVN
11:28:39:  PlateCtrl.c Revision 3222 - TortoiseMerge
11:28:49:  王晓华
11:29:59:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:30:19:  王晓华
11:30:34:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:31:19:  主页 - Internet Explorer
11:31:24:  系统登录 - Internet Explorer
11:31:29:  新北洋OA信息化平台 - Internet Explorer
11:31:44:  2020年新北洋张村食堂10.12-10.17日菜谱+.xlsx  [受保护的视图] - Excel
11:31:54:  eSpace
11:31:59:  于斌1
11:32:04:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:32:09:  eSpace
11:32:14:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
11:40:24:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
11:40:29:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
11:40:39:  锁屏状态
13:24:45:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:24:50:  D:\00-06\1T1-Stop-Length\trunk\Applications\PlateCtrl\PlateCtrl.c • (1T1-Stop-Length) - Sublime Text (UNREGISTERED)
13:25:00:  结构图
13:25:05:  trunk
13:25:10:  D:\00-06\1T1-Stop-Length\trunk - 工作副本 - TortoiseSVN
13:25:20:  PlateCtrl.c - TortoiseMerge
13:25:25:  D:\00-06\1T1-Stop-Length\trunk - 工作副本 - TortoiseSVN
13:25:30:  Project
13:25:35:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
13:27:45:  JLink - Cortex-M Error
13:27:50:  Cortex JLink/JTrace Target Driver Setup
13:28:10:  Options for Target 'CashBox'
13:28:35:  Cortex JLink/JTrace Target Driver Setup
13:29:10:  JL2CM3
13:29:15:  Options for Target 'CashBox'
13:29:40:  SEGGER J-Link V6.10b - Control panel
13:29:45:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
13:28:10:  Options for Target 'CashBox'
13:28:35:  Cortex JLink/JTrace Target Driver Setup
13:29:10:  JL2CM3
13:29:15:  Options for Target 'CashBox'
13:29:40:  SEGGER J-Link V6.10b - Control panel
13:29:45:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
13:36:26:  CRS电气资料.xlsx  [只读] - Excel
13:36:31:  计算器
13:36:36:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
13:36:41:  本地磁盘 (D:)
13:36:46:  10
13:36:51:  D:\00-KE64\10 - 日志信息 - TortoiseSVN
13:36:56:  深圳出差
13:37:01:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
13:37:21:  CashBoxPlateCtrl.c Revision 567 - TortoiseMerge
13:37:26:  ComponentCtrl.c Revision 567 - TortoiseMerge
13:37:36:  CashBoxModuleApp.c Revision 567 - TortoiseMerge
13:37:46:  E:\深圳出差\44 - 日志信息 - TortoiseSVN
13:38:01:  D:\00-KE64\trunk\Applications\FlowControl\Plate\PlateDriver.c (trunk) - Sublime Text (UNREGISTERED)
13:38:06:  选择文件夹
13:38:16:  untitled (44) - Sublime Text (UNREGISTERED)
13:38:26:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
13:38:36:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
13:38:41:  E:\深圳出差\44\Applications\FlowControl\TrackSelector\SelCtrl.c (44) - Sublime Text (UNREGISTERED)
13:38:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c (44) - Sublime Text (UNREGISTERED)
13:39:11:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:40:51:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
13:40:56:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:41:01:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
13:41:06:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:41:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (44) - Sublime Text (UNREGISTERED)
13:41:26:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
13:41:31:  E:\深圳出差\44\Applications\EepHisApp\HistoryStruct.h (44) - Sublime Text (UNREGISTERED)
13:41:36:  E:\深圳出差\44\Applications\EepHisApp\EepHisApp.c (44) - Sublime Text (UNREGISTERED)
13:41:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h (44) - Sublime Text (UNREGISTERED)
13:43:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:44:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:44:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:45:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:46:16:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:46:26:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:46:31:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:46:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:46:41:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:47:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:49:01:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.h (44) - Sublime Text (UNREGISTERED)
13:49:51:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:55:46:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:56:21:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentCtrl.c • (44) - Sublime Text (UNREGISTERED)
13:57:36:  E:\深圳出差\44\Applications\FlowControl\ComponentCtrl\ComponentStatus.h • (44) - Sublime Text (UNREGISTERED)
13:59:46:  V1.003
13:59:51:  TCR调测工具 V3.36
13:59:46:  V1.003
13:59:51:  TCR调测工具 V3.36
