08:00:15:  回复: 回复: 美国专利分析
08:36:47:  钞箱1T2集成测试方案
08:36:52:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
08:37:02:  50元反向盘点299张报钞箱口 500ms纸币未进入 返回码0X045E0900
08:37:12:  TCR调测工具 V3.36
08:37:17:  模块使能
08:37:37:  打开
08:37:47:  运行
08:37:52:  192.168.28.47
08:37:57:  样机配置履历表
08:38:02:  K18
08:38:07:  桌面整理
08:38:12:  TCR调测工具 V3.36
08:38:27:  模块使能
08:39:17:  托板控制
08:39:32:  TCR调测工具 V3.36
08:39:37:  传感器AD值测试
08:41:27:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:41:32:  untitled (00-18) - Sublime Text (UNREGISTERED)
08:41:47:  D:\00-18\TCR-18\Applications\PlateCtrl\PlateCtrl.c (00-18) - Sublime Text (UNREGISTERED)
08:42:22:  传感器AD值测试
08:42:27:  D:\00-18\TCR-18\Applications\PlateCtrl\PlateCtrl.c (00-18) - Sublime Text (UNREGISTERED)
08:42:32:  TCR调测工具 V3.36
08:42:42:  传感器AD值测试
08:44:27:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
08:44:47:  5.1 BOOTLOADER测试.xls  [兼容模式] - Excel
08:44:52:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
08:45:02:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202008041910.log
08:44:27:  D:\00-06\DRB-PRESS - 工作副本 - TortoiseSVN
08:44:47:  5.1 BOOTLOADER测试.xls  [兼容模式] - Excel
08:44:52:  6.4.1 钞箱中断及线程资源测试V1.0.xlsx - Excel
08:45:02:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202008041910.log
08:45:07:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:45:22:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:45:32:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:45:52:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:45:57:  锁屏状态
08:46:02:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:46:17:  D:\00-06\DRB-PRESS\Drivers\StepMotorDriver\StepMotorDriver.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:46:22:  eSpace
08:46:27:  刘雅
08:46:32:  eSpace
08:46:37:  吉哲
08:46:57:  eSpace
08:47:02:  吉哲
08:47:27:  未命名 - 写邮件
08:48:27:  未命名 - 写邮件   08:48:27 已保存
08:48:47:  DRB集成测试评 - 写邮件   08:48:44 已保存
08:48:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
08:49:02:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:49:07:  钞箱1T2集成测试方案
08:49:12:  Subversion
08:49:17:  新建文本文档.txt - 记事本
08:49:22:  新建文本文档.py - C:\Users\zhangkaifa\Pictures\新建文本文档.py (3.7.3)
08:49:27:  新建文本文档.pyw - C:\Users\zhangkaifa\Pictures\新建文本文档.pyw (3.7.3)
08:49:32:  图片
08:49:37:  截图2.PNG - Windows 照片查看器
08:49:42:  截图3.PNG - Windows 照片查看器
08:50:07:  图片
08:50:27:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:50:37:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:51:02:  计算器
08:52:27:  图片
08:52:32:  本地磁盘 (E:)
08:52:42:  DRB-PRESS
08:52:47:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
08:53:42:  锁屏状态
08:53:47:  02-学习资料
08:53:57:  C Primer Plus 第6版 中文版.pdf - Adobe Reader
08:55:27:  Adobe Reader
08:55:32:  C Primer Plus 第6版 中文版.pdf - Adobe Reader
08:58:02:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:59:07:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:59:12:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:59:07:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
08:59:12:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:02:08:  LowerPlateCtrl.c - DRB-PRESS - Visual Studio Code [管理员]
09:02:13:  「开始」菜单
09:02:18:  eSpace
09:02:28:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:02:53:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:06:18:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202008041910.log
09:06:43:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:06:48:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:06:58:  LogExpert - F:\00-TCR-information\日志相关\日志软件\接收\RTT_SeggerLog_202008041910.log
09:07:13:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:08:03:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:11:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:12:08:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:12:13:  μVision
09:12:18:  锁屏状态
09:12:23:  打开
09:12:38:  Tools
09:12:48:  TCR调测工具 V3.36
09:13:18:  托板控制
09:13:38:  TCR调测工具 V3.36
09:13:43:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:13:53:  计算器
09:14:18:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:14:23:  打开
09:14:28:  TCR调测工具 V3.36
09:14:48:  刘雅
09:14:53:  本地磁盘 (D:)
09:14:58:  钞箱1T2集成测试方案
09:15:03:  DRB集成测试
09:14:18:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:14:23:  打开
09:14:28:  TCR调测工具 V3.36
09:14:48:  刘雅
09:14:53:  本地磁盘 (D:)
09:14:58:  钞箱1T2集成测试方案
09:15:03:  DRB集成测试
09:15:08:  正在创建压缩文件 钞箱1T2集成测试方案.rar
09:15:13:  DRB集成测试报告.xlsx - Excel
09:15:43:  DRB集成测试
09:15:53:  yf-zhangkaifa
09:15:58:  刘雅
09:16:18:  DRB集成测试
09:16:23:  刘雅
09:16:38:  DRB集成测试
09:16:43:  正在从 钞箱1T2集成测试方案.rar 中提取
09:16:48:  DRB集成测试
09:16:53:  钞箱1T2集成测试方案.rar - WinRAR (非商业个人版)
09:16:58:  压缩文件名和参数
09:17:08:  DRB集成测试
09:17:18:  压缩文件名和参数
09:17:23:  DRB集成测试
09:17:33:  刘雅
09:17:53:  钞箱1T2集成测试方案
09:17:58:  DRB集成测试
09:18:03:  钞箱1T2集成测试方案
09:18:13:  DRB集成测试
09:18:18:  钞箱1T2集成测试方案
09:18:23:  DRB集成测试
09:18:28:  压缩文件名和参数
09:18:33:  DRB集成测试
09:18:38:  钞箱1T2集成测试方案.part1 - 写邮件
09:18:43:  发送邮件
09:18:48:  未命名 - 写邮件
09:18:53:  钞箱1T2集成测试方案.part2 - 写邮件
09:18:58:  刘雅
09:19:08:  DRB-PRESS
09:19:13:  Tools
09:19:18:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:19:28:  TCR调测工具 V3.36
09:19:33:  托板控制
09:20:08:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:20:18:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:20:23:  Tools
09:20:28:  TCR调测工具 V3.36
09:20:33:  打开
09:20:38:  TCR调测工具 V3.36
09:20:58:  托板控制
09:21:18:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:21:28:  Tools
09:21:38:  TCR调测工具 V3.36
09:21:43:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:21:48:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:21:53:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:22:08:  托板控制
09:22:28:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:22:33:  Tools
09:22:38:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:22:43:  托板控制
09:22:48:  TCR调测工具 V3.36
09:23:13:  托板控制
09:23:28:  TCR调测工具 V3.36
09:23:33:  D:\00-06\DRB-PRESS\Middlewares\StepMotor\StepMotorConfig.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:23:38:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:23:48:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:24:03:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:24:08:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:24:28:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:24:48:  Tools
09:24:53:  删除多个项目
09:24:58:  Tools
09:25:08:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:25:13:  TCR调测工具 V3.36
09:25:33:  托板控制
09:25:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:26:33:  Tools
09:26:38:  托板控制
09:26:43:  TCR调测工具 V3.36
09:27:03:  托板控制
09:27:23:  TCR调测工具 V3.36
09:28:43:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:28:48:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:28:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:29:13:  Tools
09:29:18:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:29:23:  TCR调测工具 V3.36
09:28:43:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:28:48:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:28:58:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:29:13:  Tools
09:29:18:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:29:23:  TCR调测工具 V3.36
09:30:38:  托板控制
09:31:03:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:31:28:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:32:33:  μVision
09:32:43:  JLink - Cortex-M Error
09:32:48:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:32:58:  JLink - Cortex-M Error
09:33:03:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:33:33:  Toolbox
09:33:38:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:35:28:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:35:33:  Tools
09:35:48:  托板控制
09:35:53:  TCR调测工具 V3.36
09:36:08:  打开
09:36:28:  TCR调测工具 V3.36
09:36:58:  托板控制
09:37:43:  Tools
09:37:48:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:38:13:  Tools
09:38:18:  锁屏状态
09:38:23:  TCR调测工具 V3.36
09:38:58:  托板控制
09:39:38:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:39:48:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:39:53:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:40:03:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:40:08:  Tools
09:40:13:  托板控制
09:40:18:  打开
09:40:23:  TCR调测工具 V3.36
09:40:53:  托板控制
09:41:13:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:41:23:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:41:33:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:41:48:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:41:53:  打开
09:41:58:  TCR调测工具 V3.36
09:43:08:  托板控制
09:44:13:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:44:38:  TCR调测工具 V3.36
09:44:53:  Tools
09:44:58:  打开
09:45:03:  TCR调测工具 V3.36
09:44:13:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:44:38:  TCR调测工具 V3.36
09:44:53:  Tools
09:44:58:  打开
09:45:03:  TCR调测工具 V3.36
09:45:23:  托板控制
09:47:13:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:47:23:  D:\00-06\DRB-PRESS\Middlewares\Lock\Lock.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:47:28:  D:\00-06\DRB-PRESS\Middlewares\Plate\UpperPlate.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:47:33:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c • (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:47:38:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:48:03:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:48:33:  TCR调测工具 V3.36
09:49:28:  托板控制
09:54:54:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
09:54:59:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:55:09:  Tools
09:55:19:  TCR调测工具 V3.36
09:55:44:  托板控制
09:57:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:57:59:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
09:58:04:  TCR调测工具 V3.36
09:58:39:  托板控制
09:59:04:  TCR调测工具 V3.36
09:59:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
09:58:39:  托板控制
09:59:04:  TCR调测工具 V3.36
09:59:54:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:02:59:  TCR调测工具 V3.36
10:03:14:  托板控制
10:03:34:  计算器
10:03:39:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:03:44:  Tools
10:03:49:  TCR调测工具 V3.36
10:04:14:  托板控制
10:04:29:  TCR调测工具 V3.36
10:08:44:  D:\00-06\DRB-PRESS\Applications\PlateCtrl\UpperPlateCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:08:49:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:09:29:  D:\00-06\DRB-PRESS\Applications\MotorCtrl\MotorCtrl.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:09:44:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:10:29:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:10:54:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:10:59:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:11:04:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:11:09:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:14:54:  钞箱1T2集成测试方案
10:14:59:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:14:54:  钞箱1T2集成测试方案
10:14:59:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:15:19:  D:\00-06\1T1-Stop-Length\trunk\Project\CashBox.uvprojx - μVision
10:16:24:  D:\00-06\DRB-PRESS\Applications\State\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:16:29:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:17:04:  吉哲
10:17:24:  eSpace
10:17:49:  吉哲
10:19:04:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:19:29:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:31:54:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:31:59:  5.21 NFC测试V1.0.xls  [兼容模式] - Excel
10:32:04:  钞箱1T2集成测试方案
10:32:14:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:32:44:  新标签页 - Google Chrome
10:32:49:  D:\00-06\DRB-PRESS\Middlewares\Nfc\Nfc.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:33:24:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:33:29:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:33:34:  百度一下，你就知道 - Google Chrome
10:33:39:  rf读写器_百度搜索 - Google Chrome
10:33:49:  D:\00-06\DRB-PRESS\Drivers\M24SRDriver\drv_I2C_M24SR.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:34:09:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:34:59:  新标签页 - Google Chrome
10:35:04:  百度一下，你就知道 - Google Chrome
10:35:09:  ios 读写 NFC_百度搜索 - Google Chrome
10:35:19:  iOS11中NFC的使用 - 简书 - Google Chrome
10:35:34:  ios 读写 NFC_百度搜索 - Google Chrome
10:35:49:  NFC 读写 APP_百度搜索 - Google Chrome
10:35:54:  #神器#NFC手机复制门禁卡-百度经验 - Google Chrome
10:36:14:  NFC 读写 APP_百度搜索 - Google Chrome
10:36:19:  https://www.baidu.com/link?url=ADZuNESoo-LDvWKOYqH-SycrbBoCMXE8MwpmlDlfdZ5q9i1BlCfHm_R8UBP5VM_ghhxD-2YiHHx6NJkj9oa_Pa&wd=&eqid=8a10427b00102587000000025f2a1b00 - Google Chrome
10:36:24:  NFC 读写 APP_百度搜索 - Google Chrome
10:36:29:  NFC读卡APP - jiftle - 博客园 - Google Chrome
10:36:44:  nfc万能读写软件_百度搜索 - Google Chrome
10:37:09:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:38:29:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-5128-20200803095020\Attach\Nfc.c
10:38:39:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-5128-20200803095020\Attach\Nfc(2).c (DRB-PRESS) - Sublime Text (UNREGISTERED)
10:38:49:  C:\Users\zhangkaifa\AppData\Roaming\Foxmail7\Temp-5128-20200803095020\Attach\State.c (DRB-PRESS) - Sublime Text (UNREGISTERED)
