08:09:53:  PostWork.py - 快捷方式
08:49:58:  取款
08:50:03:  TCR调测工具 V3.36
08:51:28:  BTCRTestTool
08:51:33:  TCR调测工具 V3.36
08:51:38:  取款
08:51:48:  TCR调测工具 V3.36
08:52:13:  取款
08:52:18:  TCR调测工具 V3.36
08:55:03:  锁屏状态
08:55:08:  TCR调测工具 V3.36
09:24:38:  iTunes
09:24:43:  TCR调测工具 V3.36
09:25:23:  钞箱配置
09:25:28:  TCR调测工具 V3.36
09:27:03:  取款
09:27:08:  TCR调测工具 V3.36
09:27:43:  取款
09:27:48:  TCR调测工具 V3.36
09:29:18:  取款
09:29:23:  TCR调测工具 V3.36
09:29:48:  取款
09:29:53:  TCR调测工具 V3.36
09:29:18:  取款
09:29:23:  TCR调测工具 V3.36
09:29:48:  取款
09:29:53:  TCR调测工具 V3.36
09:32:03:  取款
09:32:08:  TCR调测工具 V3.36
09:32:38:  取款
09:32:43:  TCR调测工具 V3.36
09:34:33:  取款
09:34:38:  TCR调测工具 V3.36
09:35:43:  跳转列表
09:35:48:  TCRControlCmdDLL
09:35:53:  20201010
09:36:43:  Decode
09:36:53:  [No file loaded] - [No filter file] - TextAnalysisTool.NET
09:36:58:  Box_1__BTCR-1100190803000_20201010093434.log - DRB.tat - TextAnalysisTool.NET
09:37:18:  Box_1__BTCR-1100190803000_20201010093434.log - DRB.tat* - TextAnalysisTool.NET
09:37:33:  取款
09:37:38:  TCR调测工具 V3.36
09:38:13:  于斌1
09:38:18:  TCR调测工具 V3.36
09:39:13:  取款
09:39:18:  TCR调测工具 V3.36
09:40:28:  取款
09:40:33:  TCR调测工具 V3.36
09:42:23:  取款
09:42:28:  TCR调测工具 V3.36
09:43:08:  取款
09:43:13:  TCR调测工具 V3.36
09:45:18:  取款
09:45:23:  TCR调测工具 V3.36
09:51:23:  取款
09:51:28:  TCR调测工具 V3.36
09:52:03:  取款
09:52:08:  TCR调测工具 V3.36
09:56:08:  K64_BTCR-1100190803000_20201010093434
09:56:13:  TCR调测工具 V3.36
09:56:53:  钞箱配置
09:57:03:  TCR调测工具 V3.36
09:57:53:  钞箱配置
09:58:03:  TCR调测工具 V3.36
10:02:08:  取款
10:02:13:  TCR调测工具 V3.36
10:04:28:  取款
10:04:38:  TCR调测工具 V3.36
10:05:58:  托板控制
10:07:13:  TCR调测工具 V3.36
10:11:09:  取款
10:11:14:  TCR调测工具 V3.36
10:12:04:  取款
10:12:14:  TCR调测工具 V3.36
10:12:54:  D:\00-06\DRB--\Applications\Separate\Separate.c (DRB--) - Sublime Text (UNREGISTERED)
10:13:04:  D:\00-06\DRB--\Middlewares\Plate\UpperPlate.c (DRB--) - Sublime Text (UNREGISTERED)
10:13:09:  计算器
10:13:24:  TCR调测工具 V3.36
10:13:29:  K64_BTCR-1100190803000_20201010093434
10:13:34:  删除多个项目
10:13:39:  20201010
10:13:44:  Decode
10:13:49:  Box_1__BTCR-1100190803000_20201010101211.log - DRB.tat* - TextAnalysisTool.NET
10:14:24:  DRB出厂测试软件更改申请
10:14:29:  DRB出厂测试软件更改申请.xlsx
10:14:44:  DRB出厂测试软件更改申请
10:14:49:  Box_1__BTCR-1100190803000_20201010101211.log - DRB.tat* - TextAnalysisTool.NET
10:14:24:  DRB出厂测试软件更改申请
10:14:29:  DRB出厂测试软件更改申请.xlsx
10:14:44:  DRB出厂测试软件更改申请
10:14:49:  Box_1__BTCR-1100190803000_20201010101211.log - DRB.tat* - TextAnalysisTool.NET
10:15:24:  TCR调测工具 V3.36
10:15:34:  托板控制
10:15:39:  TCR调测工具 V3.36
10:15:49:  托板控制
10:15:54:  钞箱传感器
10:15:59:  TCR调测工具 V3.36
10:29:54:  K64_BTCR-1100190803000_20201010101211
10:29:59:  TCR小组
10:29:54:  K64_BTCR-1100190803000_20201010101211
10:29:59:  TCR小组
10:30:54:  K64_BTCR-1100190803000_20201010101211
10:31:04:  TCR调测工具 V3.36
10:31:14:  钞箱配置
10:31:19:  TCR调测工具 V3.36
10:31:34:  iTunes
10:31:39:  自动播放
10:34:59:  TCR小组
10:35:24:  TCR调测工具 V3.36
10:36:29:  取款
10:36:34:  TCR调测工具 V3.36
10:44:44:  BTCRTestTool
10:44:49:  TCR调测工具 V3.36
10:44:44:  BTCRTestTool
10:44:49:  TCR调测工具 V3.36
10:47:19:  取款
10:47:24:  TCR调测工具 V3.36
10:50:09:  于斌1
10:50:19:  TCR调测工具 V3.36
10:51:19:  取款
10:51:24:  TCR调测工具 V3.36
10:53:19:  取款
10:53:24:  TCR调测工具 V3.36
11:06:59:  取款
11:07:04:  TCR调测工具 V3.36
11:10:09:  取款
11:10:14:  TCR调测工具 V3.36
11:11:44:  取款
11:11:49:  TCR调测工具 V3.36
11:15:04:  取款
11:15:04:  取款
11:15:09:  TCR调测工具 V3.36
11:17:14:  iTunes
11:17:19:  TCR调测工具 V3.36
11:20:54:  K64_BTCR-1100190803000_20201010101211
11:29:29:  急！9月旷工数据（2:00前完成）
11:29:39:  锁屏状态
11:29:44:  系统登录 - Internet Explorer
11:29:49:  新北洋OA信息化平台 - Internet Explorer
11:29:29:  急！9月旷工数据（2:00前完成）
11:29:39:  锁屏状态
11:29:44:  系统登录 - Internet Explorer
11:29:49:  新北洋OA信息化平台 - Internet Explorer
11:30:34:  0_发起流程_员工请假申请 - Internet Explorer
11:30:39:  新北洋OA信息化平台 - Internet Explorer
11:30:49:  http://oa.byintra.com/iBPM/BPM/DecryptUlt.aspx?ASSIGNEDTOUSER=BPM/zhangkaifa&TASKID=S0523081f25 - Internet Explorer
11:30:54:  员工请假申请 - Internet Explorer
11:32:34:  急！9月旷工数据（2:00前完成）
11:32:59:  刘雅
11:33:34:  新北洋OA信息化平台 - Internet Explorer
11:33:39:  刘雅
11:33:44:  新北洋OA信息化平台 - Internet Explorer
11:34:04:  刘雅
11:34:34:  Box_1__BTCR-1100190803000_20201010101211.log - DRB.tat* - TextAnalysisTool.NET
11:34:39:  PaperManage.c - DRB-- - Visual Studio Code [管理员]
13:07:14:  Box_1__BTCR-1100190803000_20201010101211.log - DRB.tat* - TextAnalysisTool.NET
13:07:29:  主页 - Internet Explorer
13:07:34:  系统登录 - Internet Explorer
13:07:39:  新北洋OA信息化平台 - Internet Explorer
13:08:04:  0_发起流程_员工请假申请 - Internet Explorer
13:15:09:  新标签页 - Google Chrome
13:15:14:  主页 - Internet Explorer
13:15:19:  新北洋OA信息化平台 - Internet Explorer
13:15:24:  考勤异常 - Internet Explorer
13:25:30:  Internet Explorer
13:25:35:  荆文波
13:26:00:  eSpace
13:26:10:  ecs
13:26:15:  荆文波
13:26:25:  eSpace
14:07:55:  荆文波
14:08:00:  TCR调测工具 V3.36
14:08:35:  可接收
14:08:40:  钞箱配置
14:09:00:  TCR调测工具 V3.36
14:14:50:  取款
14:15:00:  TCR调测工具 V3.36
14:14:50:  取款
14:15:00:  TCR调测工具 V3.36
14:20:15:  钞箱配置
14:20:20:  TCR调测工具 V3.36
14:23:05:  取款
14:23:15:  TCR调测工具 V3.36
14:41:25:  钞箱配置
14:41:50:  TCR调测工具 V3.36
14:42:20:  取款
14:42:25:  TCR调测工具 V3.36
14:45:05:  取款
14:45:10:  TCR调测工具 V3.36
14:45:45:  托板控制
14:51:15:  桌面整理
14:51:20:  TCR调测工具 V3.36
14:53:20:  BTCRTestTool
14:53:25:  锁屏状态
14:53:30:  TCR调测工具 V3.36
14:54:15:  取款
14:54:20:  TCR调测工具 V3.36
14:54:45:  托板控制
15:02:50:  TCR调测工具 V3.36
15:04:25:  取款
15:04:30:  TCR调测工具 V3.36
15:05:00:  取款
15:05:05:  TCR调测工具 V3.36
15:07:00:  钞箱配置
15:07:10:  TCR调测工具 V3.36
15:07:15:  取款
15:07:20:  TCR调测工具 V3.36
15:08:10:  取款
15:08:15:  TCR调测工具 V3.36
