08:08:49:  新建文本文档.exe - 快捷方式
08:24:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:25:19:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:25:24:  本地磁盘 (D:)
08:25:29:  00-06
08:25:34:  8
08:25:39:  BR-1-CashBox1T2
08:25:44:  D:\00-06\8\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
08:25:49:  (34 封私信 / 79 条消息) 首页 - 知乎 - Google Chrome
08:26:19:  C:\Windows\py.exe
08:26:24:  新标签页 - Google Chrome
08:26:29:  (34 封私信 / 79 条消息) 首页 - 知乎 - Google Chrome
08:26:39:  如何评价《王者荣耀》大乔「白蛇」皮肤？ - 知乎 - Google Chrome
08:26:44:  (34 封私信 / 79 条消息) 如何评价《王者荣耀》大乔「白蛇」皮肤？ - 知乎 - Google Chrome
08:26:49:  C:\Windows\py.exe
08:26:54:  BR-1-CashBox1T2
08:26:59:  C:\Windows\py.exe
08:27:19:  BR-1-CashBox1T2
08:27:24:  Subversion
08:27:29:  letgo
08:27:39:  打开方式
08:27:44:  C:\Users\zhangkaifa\Downloads\scrapy\知乎爬取\letgo\letgo\爬取结果\如何评价《王者荣耀》大乔「白蛇」皮肤？.txt (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:28:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:28:59:  
08:29:24:  爬取结果
08:29:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:29:34:  00-06
08:29:39:  BR-1-CashBox1T2
08:29:49:  InstrExecute.c-revBASE.svn001.tmp.c <--> InstrExecute.c - 文本比较(T) - Beyond Compare
08:29:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:04:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:28:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:28:59:  
08:29:24:  爬取结果
08:29:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:29:34:  00-06
08:29:39:  BR-1-CashBox1T2
08:29:49:  InstrExecute.c-revBASE.svn001.tmp.c <--> InstrExecute.c - 文本比较(T) - Beyond Compare
08:29:54:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:04:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:09:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:24:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:39:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:44:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\PlateCommon.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:30:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:31:19:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:31:24:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:31:29:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:31:49:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:31:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:32:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:32:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:35:  D:\00-06\8\branches\BR-1-CashBox1T2\FwLib\OpticalSensor\OpticalSensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:50:  D:\00-06\8\branches\BR-1-CashBox1T2\FwLib\Config\DebugConfig.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:33:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:34:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:34:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:34:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Plate\LowerPlate.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:34:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:36:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:36:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:36:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:36:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:37:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:38:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:39:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:39:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:40:45:  
08:40:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:46:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:46:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrHandle.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:46:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:46:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:47:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:49:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:50:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\StepMotorDriver\StepMotorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:50:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:50:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:51:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\StepMotor\StepMotor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:51:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:52:15:  
08:52:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:52:50:  
08:53:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:53:40:  
08:53:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:57:10:  回复: TCR 一体两箱 原理图 评审
08:57:30:  
08:57:35:  EXTFEDU6V11.pdf - Adobe Reader
08:57:45:  EXTFEDU6V11.pdf
08:57:50:  
08:58:00:  EXTFEDU6V11.pdf - Adobe Reader
08:58:20:  EXTFEDU6V11.pdf
08:58:25:  
08:58:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:59:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:58:20:  EXTFEDU6V11.pdf
08:58:25:  
08:58:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
08:59:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:00:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:01:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:02:25:  LogExpert - C:\Users\zhangkaifa\Documents\TheActtionRec\W\2020-03-04.txt
09:02:40:  文档
09:02:45:  2020-03-04.txt - 记事本
09:03:00:  绘图1.vsd  [兼容模式] - Visio Professional
09:03:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:03:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:03:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:03:45:  branches
09:03:50:  D:\00-06\8\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
09:04:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:04:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:04:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:04:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:04:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:05:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:05:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:05:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrHandle.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:05:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:30:  Save Changes?
09:06:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:06:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:07:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:07:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:07:50:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:07:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:10:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:08:35:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:09:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:09:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:09:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:09:45:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:10:15:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:10:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrReturn.h (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:10:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:10:40:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:11:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:11:40:  
09:11:45:  便签条
09:11:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:12:05:  BR-1-CashBox1T2.txt - 记事本
09:12:10:  BR-1-CashBox1T2
09:12:15:  D:\00-06\8\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
09:12:40:  Log.c-rev3271.svn000.tmp.c <--> Log.c-rev3272.svn000.tmp.c - 文本比较(T) - Beyond Compare
09:12:50:  D:\00-06\8\branches\BR-1-CashBox1T2 - 日志信息 - TortoiseSVN
09:12:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:18:00:  变幻线
09:23:00:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Track\Track.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:44:55:  
09:45:30:  桌面整理
09:45:35:  
09:45:40:  EXTFEDU6V11.pdf
09:45:45:  EXTFEDU6V11.pdf - Adobe Reader
09:45:50:  
09:45:55:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:46:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Applications\Instruction\InstrExecute.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:48:50:  
09:48:55:  TCR调测工具（研发版）V3.41
09:49:40:  传感器AD值测试
09:50:00:  BTCRTestTool
09:50:30:  TCR调测工具（研发版）V3.41
09:50:40:  本地磁盘 (F:)
09:50:45:  新建文件夹 (2)
09:50:50:  新建文件夹(4)
09:50:55:  00-TCR-information
09:51:00:  BTCRTestTool V3.07
09:51:10:  TCR调测工具 V3.07
09:51:20:  EXTFEDU6V11.pdf - Adobe Reader
09:51:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
09:51:50:  TCR调测工具 V3.07
09:51:55:  
09:52:00:  f - Everything
09:52:05:  FEB - Everything
09:52:25:  FEB.*?.p - Everything
09:52:30:  F.*?.pdf - Everything
09:52:35:  01 主控板 FEDUV2.2.PDF - Adobe Reader
09:52:45:  「开始」菜单
09:52:50:  eSpace Login
09:52:55:  
09:53:00:  eSpace
09:53:20:  
09:53:25:  EXTFEDU6V11.pdf - Adobe Reader
09:55:50:  TCR调测工具 V3.07
09:55:55:  传感器AD值测试
09:56:00:  EXTFEDU6V11.pdf - Adobe Reader
09:56:05:  TCR调测工具 V3.36
09:56:10:  传感器AD值测试
09:56:40:  TCR调测工具 V3.36
09:57:00:  传感器AD值测试
09:57:10:  V1.003
09:57:15:  传感器AD值测试
09:57:55:  01 主控板 FEDUV2.2.PDF - Adobe Reader
09:58:15:  TCR调测工具 V3.36
09:58:20:  传感器AD值测试
09:58:35:  TCR调测工具 V3.36
09:59:25:  
09:59:30:  TCR调测工具 V3.07
09:58:15:  TCR调测工具 V3.36
09:58:20:  传感器AD值测试
09:58:35:  TCR调测工具 V3.36
09:59:25:  
09:59:30:  TCR调测工具 V3.07
10:00:05:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Selector\Selector.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:00:20:  D:\00-06\8\branches\BR-1-CashBox1T2\Middlewares\Sensor\Sensor.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:00:25:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
10:00:30:  D:\00-06\8\branches\BR-1-CashBox1T2\Drivers\SensorDriver\SensorDriver.c • (BR-1-CashBox1T2) - Sublime Text (UNREGISTERED)
