08:03:45:  主控板集成测试方案-报告
08:44:52:  Internet Explorer
08:44:57:  考勤异常 - Internet Explorer
08:45:17:  CRS调测工具（研发版）V1.0.2.1
08:45:52:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
08:46:02:  锁屏状态
08:46:07:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:48:02:  CRS调测工具（研发版）V1.0.2.1
08:48:12:  TCRControlCmdDLL
08:48:17:  Subversion
08:48:22:  TheActtionRec
08:48:27:  W
08:48:32:  TheActtionRec
08:48:37:  W
08:48:42:  2020-12-17.txt - 记事本
08:48:52:  TheActtionRec
08:48:57:  2020-12-18.txt - 记事本
08:49:02:  Log
08:49:07:  2020-12-18.txt - 记事本
08:49:12:  R
08:49:17:  Bin
08:49:22:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\Bin\WorkTime.py (3.7.3)
08:49:42:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\Bin\WorkTime.py (3.7.3)*
08:49:52:  Save On Close
08:49:57:  复制文件
08:50:02:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:50:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:50:17:  *Python 3.7.3 Shell*
08:50:22:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:50:27:  *Python 3.7.3 Shell*
08:50:32:  Figure 1
08:50:37:  Python 3.7.3 Shell
08:50:42:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:50:47:  Figure 1
08:50:52:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:52:57:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:53:07:  Save Before Run or Check
08:53:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:53:22:  Figure 1
08:53:27:  Python 3.7.3 Shell
08:53:32:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:55:07:  Figure 1
08:55:27:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:55:32:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:55:37:  Figure 1
08:55:57:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:56:02:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:56:17:  *Python 3.7.3 Shell*
08:56:22:  Figure 1
08:56:27:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:57:07:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:57:12:  Python 3.7.3 Shell
08:57:17:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
08:57:27:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
08:58:52:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:59:47:  2020-12-18.txt - 记事本
08:59:52:  W
08:59:57:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:58:52:  6.2.3.1 流程测试V1.1.xlsx - Excel
08:59:47:  2020-12-18.txt - 记事本
08:59:52:  W
08:59:57:  6.2.3.1 流程测试V1.1.xlsx - Excel
09:00:52:  CRS调测工具（研发版）V1.0.2.1
09:01:02:  6.2.3.1 流程测试V1.1.xlsx - Excel
09:01:22:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:02:22:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:02:27:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:02:32:  *Python 3.7.3 Shell*
09:02:42:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:03:42:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:05:27:  Figure 1
09:05:47:  Python 3.7.3 Shell
09:05:52:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:06:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:06:17:  Figure 1
09:06:22:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:06:47:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:07:17:  W
09:07:22:  2020-12-17.txt - 记事本
09:07:42:  *Python 3.7.3 Shell*
09:07:47:  Python 3.7.3 Shell
09:07:57:  2020-12-17.txt - 记事本
09:08:07:  Python 3.7.3 Shell
09:08:12:  2020-12-17.txt - 记事本
09:08:17:  Python 3.7.3 Shell
09:08:27:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:10:17:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:10:22:  Figure 1
09:10:32:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:10:37:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:10:42:  Figure 1
09:10:47:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:11:02:  2020-12-17.txt - 记事本
09:11:07:  *Python 3.7.3 Shell*
09:11:12:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:11:27:  Python 3.7.3 Shell
09:11:32:  Figure 1
09:11:37:  *Python 3.7.3 Shell*
09:11:42:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:11:52:  2020-12-17.txt - 记事本
09:12:07:  W
09:12:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:12:17:  2020-12-17.txt - 记事本
09:12:27:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:12:32:  matplotlib
09:12:37:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:12:42:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:13:02:  Figure 1
09:13:07:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:13:12:  Figure 1
09:13:22:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:13:27:  Save Before Run or Check
09:13:32:  W
09:13:37:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:14:07:  Python 3.7.3 Shell
09:14:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:17:  Python 3.7.3 Shell
09:14:22:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:32:  2020-12-17.txt - 记事本
09:14:42:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:47:  *Python 3.7.3 Shell*
09:14:52:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:14:57:  2020-12-17.txt - 记事本
09:15:02:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:14:07:  Python 3.7.3 Shell
09:14:12:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:17:  Python 3.7.3 Shell
09:14:22:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:32:  2020-12-17.txt - 记事本
09:14:42:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:14:47:  *Python 3.7.3 Shell*
09:14:52:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:14:57:  2020-12-17.txt - 记事本
09:15:02:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:15:07:  *Python 3.7.3 Shell*
09:15:12:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:15:27:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:15:32:  *Python 3.7.3 Shell*
09:15:37:  Python 3.7.3 Shell
09:15:47:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:15:52:  Python 3.7.3 Shell
09:16:27:  *Python 3.7.3 Shell*
09:16:32:  Python 3.7.3 Shell
09:16:43:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:17:08:  Python 3.7.3 Shell
09:17:18:  Save Before Run or Check
09:17:23:  Python 3.7.3 Shell
09:17:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:17:43:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:18:03:  Python 3.7.3 Shell
09:18:08:  *Python 3.7.3 Shell*
09:18:13:  Python 3.7.3 Shell
09:18:23:  *Python 3.7.3 Shell*
09:18:28:  Python 3.7.3 Shell
09:18:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:18:43:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:18:48:  Python 3.7.3 Shell
09:19:03:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:19:18:  Python 3.7.3 Shell
09:19:23:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:20:18:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:20:23:  *Python 3.7.3 Shell*
09:20:28:  Python 3.7.3 Shell
09:20:48:  *Python 3.7.3 Shell*
09:20:53:  Python 3.7.3 Shell
09:21:18:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:22:28:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:22:33:  *Python 3.7.3 Shell*
09:22:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:22:48:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:23:23:  Figure 1
09:23:28:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:23:38:  Python 3.7.3 Shell
09:23:43:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:23:48:  Python 3.7.3 Shell
09:23:53:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:24:03:  Figure 1
09:24:13:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:26:08:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:26:18:  *Python 3.7.3 Shell*
09:26:23:  Python 3.7.3 Shell
09:26:33:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:26:43:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:27:08:  Python 3.7.3 Shell
09:27:18:  Save Before Run or Check
09:27:23:  Python 3.7.3 Shell
09:27:28:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:27:58:  *Python 3.7.3 Shell*
09:28:08:  Python 3.7.3 Shell
09:28:33:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:28:38:  Python 3.7.3 Shell
09:28:48:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:28:53:  Python 3.7.3 Shell
09:29:08:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:13:  *Python 3.7.3 Shell*
09:29:18:  Python 3.7.3 Shell
09:29:23:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:28:  *Python 3.7.3 Shell*
09:29:33:  Python 3.7.3 Shell
09:29:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:43:  *Python 3.7.3 Shell*
09:29:48:  Python 3.7.3 Shell
09:28:08:  Python 3.7.3 Shell
09:28:33:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:28:38:  Python 3.7.3 Shell
09:28:48:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:28:53:  Python 3.7.3 Shell
09:29:08:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:13:  *Python 3.7.3 Shell*
09:29:18:  Python 3.7.3 Shell
09:29:23:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:28:  *Python 3.7.3 Shell*
09:29:33:  Python 3.7.3 Shell
09:29:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:29:43:  *Python 3.7.3 Shell*
09:29:48:  Python 3.7.3 Shell
09:30:08:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:30:13:  Python 3.7.3 Shell
09:30:33:  *Python 3.7.3 Shell*
09:30:38:  Python 3.7.3 Shell
09:30:43:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:30:48:  *Python 3.7.3 Shell*
09:30:53:  Python 3.7.3 Shell
09:31:08:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:31:13:  *Python 3.7.3 Shell*
09:31:18:  Python 3.7.3 Shell
09:31:38:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:31:43:  *Python 3.7.3 Shell*
09:31:48:  Figure 1
09:31:53:  *Python 3.7.3 Shell*
09:31:58:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:32:03:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:32:08:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:32:18:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:32:28:  Python 3.7.3 Shell
09:32:33:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:32:38:  Save Before Run or Check
09:32:43:  Figure 1
09:32:48:  Python 3.7.3 Shell
09:33:03:  Figure 1
09:33:08:  Python 3.7.3 Shell
09:33:13:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:33:18:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
09:33:23:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:33:48:  *Python 3.7.3 Shell*
09:33:53:  Python 3.7.3 Shell
09:33:58:  Figure 1
09:34:13:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
09:34:18:  锁屏状态
09:34:23:  6.2.3.1 流程测试V1.1.xlsx - Excel
09:34:33:  新北洋办公室电邮【2020】049号-关于取消年会相关集体活动的通知.pdf
09:36:48:  eSpace
09:36:58:  于斌1
09:37:03:  6.2.3.1 流程测试V1.1.xlsx - Excel
09:37:53:  CRS调测工具（研发版）V1.0.2.1
09:40:48:  取款
09:40:53:  CRS调测工具（研发版）V1.0.2.1
09:41:38:  20201218
09:41:43:  Decode
09:41:53:  Box_2__0000_20201218094052.log - DRB.tat* - TextAnalysisTool.NET
09:46:08:  CRS调测工具（研发版）V1.0.2.1
09:46:43:  学习 - 张开发 - 印象笔记
09:46:48:  2-财务分配 - 张开发 - 印象笔记
09:48:28:  「开始」菜单
09:48:33:  计算器
09:48:38:  2-财务分配 - 张开发 - 印象笔记
09:49:13:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:51:18:  计算器
09:51:23:  2-财务分配 - 张开发 - 印象笔记
09:51:28:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:51:33:  CRS调测工具（研发版）V1.0.2.1
09:51:38:  2-财务分配 - 张开发 - 印象笔记
09:52:28:  CRS调测工具（研发版）V1.0.2.1
09:52:33:  2-财务分配 - 张开发 - 印象笔记
09:53:03:  于斌1
09:53:08:  2-财务分配 - 张开发 - 印象笔记
09:55:18:  选择数据源
09:55:28:  轴标签
09:55:38:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:55:43:  2-财务分配 - 张开发 - 印象笔记
09:57:03:  CRS调测工具（研发版）V1.0.2.1
09:57:08:  Box_2__0000_20201218094052.log - DRB.tat* - TextAnalysisTool.NET
09:58:23:  2-财务分配 - 张开发 - 印象笔记
09:59:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:59:23:  2-财务分配 - 张开发 - 印象笔记
10:00:03:  锁屏状态
09:58:23:  2-财务分配 - 张开发 - 印象笔记
09:59:03:  20180613 TCR内部指令手册_V001.xlsx - Excel
09:59:23:  2-财务分配 - 张开发 - 印象笔记
10:00:03:  锁屏状态
10:00:08:  10 - 印象笔记
10:01:48:  Box_2__0000_20201218094052.log - DRB.tat* - TextAnalysisTool.NET
10:04:13:  锁屏状态
10:04:18:  TD回复格式.docx [兼容模式] - Word
10:04:53:  CRS调测工具（研发版）V1.0.2.1
10:04:58:  TD回复格式.docx [兼容模式] - Word
10:05:03:  2-财务分配 - 张开发 - 印象笔记
10:05:08:  所有笔记本 - 张开发 - 印象笔记
10:05:23:  大学工作日常 - 张开发 - 印象笔记
10:05:28:  0-工作 - 张开发 - 印象笔记
10:05:53:  2-财务分配 - 张开发 - 印象笔记
10:06:43:  CRS调测工具（研发版）V1.0.2.1
10:07:18:  Box_2__0000_20201218094052.log - DRB.tat* - TextAnalysisTool.NET
10:07:23:  CRS调测工具（研发版）V1.0.2.1
10:08:18:  TD回复格式.docx [兼容模式] - Word
10:08:43:  CRS调测工具（研发版）V1.0.2.1
10:09:18:  锁屏状态
10:09:23:  新北洋OA信息化平台 - Internet Explorer
10:10:58:  2020-12-18.txt - 记事本
10:11:03:  W
10:11:08:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:11:13:  Figure 1
10:11:18:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:11:28:  W
10:12:03:  LowerPlateCtrl.c - DRB-NearFull - Visual Studio Code [管理员]
10:13:38:  CRS调测工具（研发版）V1.0.2.1
10:13:43:  取款
10:13:48:  CRS调测工具（研发版）V1.0.2.1
10:14:08:  LOG
10:14:13:  20201217
10:14:23:  跳转列表
10:14:28:  TCRControlCmdDLL
10:14:33:  20201218
10:15:03:  Decode
10:14:08:  LOG
10:14:13:  20201217
10:14:23:  跳转列表
10:14:28:  TCRControlCmdDLL
10:14:33:  20201218
10:15:03:  Decode
10:15:13:  Box_2__0000_20201218094052.log - DRB.tat* - TextAnalysisTool.NET
10:15:18:  Box_2__0000_20201218101345.log - DRB.tat* - TextAnalysisTool.NET
10:17:58:  6.2.3.1 流程测试V1.1.xlsx - Excel
10:24:43:  CRS调测工具（研发版）V1.0.2.1
10:25:03:  于斌1
10:25:33:  CRSTestTool
10:25:38:  CRS调测工具（研发版）V1.0.2.1
10:26:33:  通道电机测试
10:26:43:  CRS调测工具（研发版）V1.0.2.1
10:26:48:  通道电机测试
10:26:53:  CRS调测工具（研发版）V1.0.2.1
10:28:33:  CRS_ErrCode_list_excel_flg.txt - 记事本
10:28:33:  CRS_ErrCode_list_excel_flg.txt - 记事本
10:30:38:  CRS调测工具（研发版）V1.0.2.1
10:33:59:  取款
10:34:04:  CRS调测工具（研发版）V1.0.2.1
10:34:29:  TD回复格式.docx [兼容模式] - Word
10:34:54:  于斌1
10:34:59:  TD回复格式.docx [兼容模式] - Word
10:44:34:  新北洋OA信息化平台 - Internet Explorer
10:44:39:  员工自助 - Internet Explorer
10:44:44:  Employee-facing registry content - Internet Explorer
10:44:54:  绩效申请 - Internet Explorer
10:45:04:  员工自助 - Internet Explorer
10:44:34:  新北洋OA信息化平台 - Internet Explorer
10:44:39:  员工自助 - Internet Explorer
10:44:44:  Employee-facing registry content - Internet Explorer
10:44:54:  绩效申请 - Internet Explorer
10:45:04:  员工自助 - Internet Explorer
10:45:14:  新北洋OA信息化平台 - Internet Explorer
10:45:24:  员工请假申请 - Internet Explorer
10:45:29:  员工自助 - Internet Explorer
10:45:34:  新北洋OA信息化平台 - Internet Explorer
10:45:39:  2-财务分配 - 张开发 - 印象笔记
10:46:04:  新北洋OA信息化平台 - Internet Explorer
10:51:14:  6.2.3.1 流程测试V1.1.xlsx - Excel
10:51:19:  eSpace
10:51:49:  程明昌
10:51:59:  6.2.3.1 流程测试V1.1.xlsx - Excel
10:52:24:  W
10:52:29:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:52:34:  Figure 1
10:52:39:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:52:59:  跳转列表
10:53:04:  getTheDieal
10:53:09:  GetTheideal.py - F:\小程序\getTheDieal\GetTheideal.py (3.7.3)
10:54:04:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:54:14:  Subversion
10:54:19:  TheActtionRec
10:54:24:  Bin
10:54:29:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\Bin\WorkTime.py (3.7.3)
10:54:34:  GTD.pyw - C:\Users\zhangkaifa\Documents\TheActtionRec\Bin\GTD.pyw (3.7.3)
10:54:44:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:54:49:  *WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)*
10:55:04:  Python 3.7.3 Shell
10:55:09:  CRS调测工具（研发版）V1.0.2.1
10:55:14:  于斌1
10:55:19:  CRS调测工具（研发版）V1.0.2.1
10:55:29:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:55:34:  Save Before Run or Check
10:55:39:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:55:49:  *Python 3.7.3 Shell*
10:55:54:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
10:55:59:  *Python 3.7.3 Shell*
10:56:04:  WorkTime.py - C:\Users\zhangkaifa\Documents\TheActtionRec\W\WorkTime.py (3.7.3)
